site_group,xname,x_mean,x_sd,x_n
Semi-Arid,ln_biomass,2.4341492178866048e-17,1.405877239602052,47
Semi-Arid,ln_density,2.7035849918149175e-17,1.0371789636704223,47
Semi-Arid,richness,1.8896259778542574e-16,2.202078683829696,47
Semi-Arid,shannon,-1.5676179326260626e-16,1.4090196877026295,47
Transition,ln_biomass,1.076635344823366e-17,1.377020630220992,48
Transition,ln_density,1.9949319973733282e-17,0.9502417849743776,48
Transition,richness,-2.6571988243998906e-17,2.911244438418952,48
Transition,shannon,-1.7243106176118941e-16,1.7138230044417162,48
Sub-Humid,ln_biomass,1.0783294107178746e-17,1.292227328974649,48
Sub-Humid,ln_density,5.599367766687703e-17,1.0345929246292742,48
Sub-Humid,richness,3.700246489421466e-16,2.913622286238715,48
Sub-Humid,shannon,1.6575305400503653e-17,1.2481964523172946,48
