season,outcome,statistic,r.squared,p.value,nobs
Winter,ln_density,15.255333478923234,0.20824877526920882,2.4769940944972883e-4,60
Winter,ln_biomass,0.00819864401358069,1.41335952593432e-4,0.9281650321300527,60
Winter,richness,27.722004363862617,0.3233942622968956,2.1339323239363907e-6,60
Winter,shannon,14.821708969570164,0.2035342095001324,2.971952254228422e-4,60
Fall,ln_density,4.260334840463748,0.11749298122061304,0.047198871885708475,34
Fall,ln_biomass,0.009320519958705774,2.911814373845946e-4,0.9236915662074172,34
Fall,richness,5.736875853621886,0.1520230735547568,0.022636395602154077,34
Fall,shannon,5.326036244019976,0.1426895748908582,0.02762712740601601,34
Spring,ln_density,12.184056932614725,0.24772370748731964,0.001264165853975649,39
Spring,ln_biomass,1.2073401542806255,0.0315996913002948,0.2789582330597778,39
Spring,richness,4.086319514322453,0.09945693755552833,0.05050971588778732,39
Spring,shannon,1.8678763771587965,0.048057073122124,0.17996636438752855,39
Summer,ln_density,1.2005386789548274,0.13048569446275157,0.3051000052916317,10
Summer,ln_biomass,0.21211495774574426,0.02582951637150128,0.6573754415493557,10
Summer,richness,0.017745677891596173,0.0022133001724572916,0.8973149521301699,10
Summer,shannon,1.3318125871287483,0.14271745973185324,0.2817915931841218,10
