site_code,qtr,collection_period,lowest_taxon,is_baseline,dens,dens_b_all,dens_sd20,dens_b_qtr,dens_b_qtr_fill,dens_RR_b_qtr,dens_RR_b_all,dens_LRR_b_qtr,dens_LRR_b_all
AR,1,2018-02-01,C. lutrensis,test,0.28179228179228183,0.14925978148683988,0.15589928733449604,0.11196207334185765,0.11196207334185765,1.3924837762834104,0.8321780870733739,0.33108904196752476,-0.18370881410252146
AR,1,2018-02-01,G. affinis,test,0.10360010360010362,0.02729929658583491,0.02928576335633479,0.07667731629392971,0.07667731629392971,0.31060937806238237,2.045636620483758,-1.1692191753480154,0.7157090469091782
AR,1,2018-02-01,H. cyanoguttatus,test,0.02486402486402486,0.03564057548988837,0.022096760381085826,0.025340868927783936,0.025340868927783936,-0.013492709099299888,-0.23611776385797417,-4.305605806144839,-1.4434245990171295
AR,1,2018-02-01,L. macrochirus,test,0.01657601657601657,0.10610747278291627,0.08268386224298643,0.062474476188862905,0.062474476188862905,-0.6333051582634206,-0.7711084744243363,-0.45680289043778255,-0.25992622215778644
AR,1,2018-02-01,L. megalotis,test,0.1201761201761202,0.07624485005889771,0.07072073267760595,0.0511315181667206,0.0511315181667206,1.1294436009440838,0.5093784740447838,0.12172512291614364,-0.674563974799649
AR,2,2018-04-01,C. lutrensis,test,0.1458966565349544,0.14925978148683988,0.15589928733449604,0.3975532405106752,0.3975532405106752,-0.6174814943451027,-0.021117226963942477,-0.4821061796009729,-3.857666127820306
AR,2,2018-04-01,G. affinis,test,0.00972644376899696,0.02729929658583491,0.02928576335633479,0.00481882715770515,0.00481882715770515,0.33117442825021826,-0.47113094415597007,-1.1051100688412685,-0.7526192105341916
AR,2,2018-04-01,H. cyanoguttatus,test,0.00648429584599797,0.03564057548988837,0.022096760381085826,0.0313223765250835,0.0313223765250835,-0.6010806436558247,-0.6388236636137496,-0.5090261709929748,-0.4481268194736768
AR,2,2018-04-01,L. macrochirus,test,0.01296859169199594,0.10610747278291627,0.08268386224298643,0.10842361104836595,0.10842361104836595,-0.8060471937254539,-0.8021781790484767,-0.21561298518042132,-0.22042452740174276
AR,2,2018-05-01,C. lutrensis,test,0.2,0.14925978148683988,0.15589928733449604,0.3975532405106752,0.3975532405106752,-0.4847298975297943,0.3186003273359567,-0.7241634554876165,-1.1438178540868902
AR,2,2018-05-01,H. cyanoguttatus,test,0.01481481481481481,0.03564057548988837,0.022096760381085826,0.0313223765250835,0.0313223765250835,-0.3994823894082732,-0.45629925678056993,-0.9175855963287228,-0.7846064198457018
AR,2,2018-05-01,L. cyanellus,test,0.01111111111111111,0.06995807354255129,0.06595530922381766,0.18311543199279587,0.18311543199279587,-0.8906813873274578,-0.7359727395148358,-0.1157685054422771,-0.3065621996418793
AR,2,2018-05-01,L. macrochirus,test,0.0962962962962963,0.10610747278291627,0.08268386224298643,0.10842361104836595,0.10842361104836595,-0.10240622325827138,-0.08450081852150658,-2.278807794216838,-2.470994058020876
AR,2,2018-05-01,L. megalotis,test,0.22962962962962963,0.07624485005889771,0.07072073267760595,0.00481882715770515,0.00481882715770515,15.170620460002636,1.778480448003371,2.7193606929856506,0.575759318813962
AR,2,2018-05-01,M. salmoides,test,0.01111111111111111,0.00765562227277324,0.0032669787822724146,0.00481882715770515,0.00481882715770515,0.42461416726452905,0.19571606058125654,-0.8565743641261212,-1.6310903405930453
AR,2,2018-06-01,A. melas,test,0.00958083832335329,0,NA,NA,0,0.958083832335329,0.958083832335329,-0.04281999718292853,-0.04281999718292853
AR,2,2018-06-01,A. natalis,test,0.00958083832335329,0.0072686600751494645,0.0014689616134944176,NA,0.0072686600751494645,0.13389447925558365,0.13389447925558365,-2.0107032574891224,-2.0107032574891224
AR,2,2018-06-01,C. lutrensis,test,0.09101796407185628,0.14925978148683988,0.15589928733449604,0.3975532405106752,0.3975532405106752,-0.7521355395303003,-0.3657032357525638,-0.2848387325362454,-1.0059331057593999
AR,2,2018-06-01,G. affinis,test,0.03353293413173652,0.02729929658583491,0.02928576335633479,0.00481882715770515,0.00481882715770515,1.9376774334736249,0.1671248017119161,0.6614900566193362,-1.7890144300264563
AR,2,2018-06-01,H. cyanoguttatus,test,0.00958083832335329,0.03564057548988837,0.022096760381085826,0.0313223765250835,0.0313223765250835,-0.526144429000415,-0.570977400850447,-0.642179524085877,-0.5604056483047285
AR,2,2018-06-01,L. gulosus,test,0.00958083832335329,0.012217162605822781,0.008562716400581727,0.00481882715770515,0.00481882715770515,0.3213487217962523,-0.11866160991136424,-1.135228384778938,-2.1314794508126615
AR,2,2018-06-01,L. macrochirus,test,0.03832335329341317,0.10610747278291627,0.08268386224298643,0.10842361104836595,0.10842361104836595,-0.5919449435326103,-0.5838049684901648,-0.5243416492124826,-0.5381883099951091
AR,2,2018-06-01,L. megalotis,test,0.05269461077844311,0.07624485005889771,0.07072073267760595,0.00481882715770515,0.00481882715770515,3.2307404028155235,-0.27306255694539255,1.1727113378439697,-1.298054363727066
AR,2,2018-06-01,L. oculatus,test,0.00958083832335329,0.00863994317386815,0.005403874093458766,0.00481882715770515,0.00481882715770515,0.3213487217962523,0.050477361476305736,-1.135228384778938,-2.986230330809654
AR,3,2017-09-01,C. lutrensis,test,0.08590604026845637,0.14925978148683988,0.15589928733449604,0.05655305018288738,0.05655305018288738,0.441046503577329,-0.3978012567072285,-0.818604958806054,-0.9218027534238956
AR,3,2017-09-01,G. affinis,test,0.01718120805369127,0.02729929658583491,0.02928576335633479,0.02076843198338525,0.02076843198338525,-0.11658780439741148,-0.27126754277682996,-2.149110604040217,-1.3046497023870987
AR,3,2017-09-01,H. cyanoguttatus,test,0.04295302013422818,0.03564057548988837,0.022096760381085826,0.04006670293919856,0.04006670293919856,0.05764943616388691,0.1602180639891335,-2.8533748126464333,-1.8312194917213394
AR,3,2017-09-01,I. punctatus,test,0.00859060402684563,0.01124748853967903,0.00970516947927644,0.017285626928984475,0.017285626928984475,-0.31866678104077045,-0.12504463799906282,-1.1436092956843582,-2.0790845014337886
