site_code,qtr,collection_period,com,is_baseline,rich,rich_b_all,rich_sd20,rich_b_qtr,rich_b_qtr_fill,rich_RR_b_qtr,rich_RR_b_all,rich_LRR_b_qtr,rich_LRR_b_all
AR,1,2018-02-01,community,test,5,8.75,1.9820624179302297,7.333333333333333,7.333333333333333,-0.3177485247389923,-0.4280821917808219,-1.1464950117589385,-0.8484400649659807
AR,2,2018-04-01,community,test,4,8.75,1.9820624179302297,10,10,-0.5994005994005994,-0.5422374429223744,-0.5118251240990742,-0.6120512869017503
AR,2,2018-05-01,community,test,6,8.75,1.9820624179302297,10,10,-0.3996003996003996,-0.3139269406392694,-0.9172902322072386,-1.15859499326982
AR,2,2018-06-01,community,test,9,8.75,1.9820624179302297,10,10,-0.0999000999000999,0.02853881278538813,-2.303584593327129,-3.5564902660681907
AR,3,2017-09-01,community,test,7,8.75,1.9820624179302297,9.5,9.5,-0.26288117770767616,-0.1997716894977169,-1.3360531446831438,-1.6105801170128773
AR,3,2018-07-01,community,test,4,8.75,1.9820624179302297,9.5,9.5,-0.5783385909568876,-0.5422374429223744,-0.5475957843188736,-0.6120512869017503
AR,3,2018-08-01,community,test,4,8.75,1.9820624179302297,9.5,9.5,-0.5783385909568876,-0.5422374429223744,-0.5475957843188736,-0.6120512869017503
AR,4,2017-11-01,community,test,10,8.75,1.9820624179302297,9.5,9.5,0.052576235541535225,0.14269406392694065,-2.9454910571172443,-1.9470523536340902
AR,4,2017-12-01,community,test,6,8.75,1.9820624179302297,9.5,9.5,-0.36803364879074657,-0.3139269406392694,-0.999580908061931,-1.15859499326982
EM,1,2018-02-01,community,test,12,8.625,1.7677669529663689,7,7,0.7132667617689016,0.390851187029531,-0.33789978861239833,-0.9394283872741488
EM,1,2018-03-01,community,test,12,8.625,1.7677669529663689,7,7,0.7132667617689016,0.390851187029531,-0.33789978861239833,-0.9394283872741488
EM,2,2018-04-01,community,test,7,8.625,1.7677669529663689,8,8,-0.12484394506866417,-0.18818760856977418,-2.080690761080268,-1.670315895816941
EM,2,2018-05-01,community,test,11,8.625,1.7677669529663689,8,8,0.37453183520599254,0.27504342790966996,-0.9820784724121581,-1.2908262741120373
EM,2,2018-06-01,community,test,7,8.625,1.7677669529663689,8,8,-0.12484394506866417,-0.18818760856977418,-2.080690761080268,-1.670315895816941
EM,3,2018-07-01,community,test,6,8.625,1.7677669529663689,9,9,-0.33296337402885684,-0.3039953676896352,-1.0997227829521368,-1.1907428155550548
EM,4,2017-10-01,community,test,11,8.625,1.7677669529663689,10.5,10.5,0.04757373929590866,0.27504342790966996,-3.045474365448805,-1.2908262741120373
EM,4,2017-11-01,community,test,15,8.625,1.7677669529663689,10.5,10.5,0.42816365366317793,0.738274464389114,-0.8482497881125857,-0.30343962055415213
EM,4,2017-12-01,community,test,15,8.625,1.7677669529663689,10.5,10.5,0.42816365366317793,0.738274464389114,-0.8482497881125857,-0.30343962055415213
GC,1,2018-02-01,community,test,13,9.25,2.434865792722759,7,7,0.8559201141226819,0.40496760259179265,-0.15557823181844374,-0.9039482086757685
GC,2,2018-04-01,community,test,9,9.25,2.434865792722759,8,8,0.12484394506866417,-0.026997840172786176,-2.080690761080268,-3.6119984097779785
GC,2,2018-05-01,community,test,9,9.25,2.434865792722759,8,8,0.12484394506866417,-0.026997840172786176,-2.080690761080268,-3.6119984097779785
GC,2,2018-06-01,community,test,9,9.25,2.434865792722759,8,8,0.12484394506866417,-0.026997840172786176,-2.080690761080268,-3.6119984097779785
GC,3,2018-07-01,community,test,3,9.25,2.434865792722759,11,11,-0.7266121707538601,-0.6749460043196545,-0.3193624090547527,-0.39312258490977786
GC,3,2018-08-01,community,test,11,9.25,2.434865792722759,11,11,0,0.18898488120950324,-100000,-1.6660882607226652
GC,4,2017-10-01,community,test,5,9.25,2.434865792722759,11,11,-0.5449591280653951,-0.45896328293736505,-0.6070444815065335,-0.7787850657217624
GC,4,2017-11-01,community,test,11,9.25,2.434865792722759,11,11,0,0.18898488120950324,-100000,-1.6660882607226652
GC,4,2017-12-01,community,test,13,9.25,2.434865792722759,11,11,0.18165304268846502,0.40496760259179265,-1.7056567701746432,-0.9039482086757685
MR,1,2018-02-01,community,test,14,8,3.559026084010437,7.5,7.5,0.8655126498002663,0.7490636704119851,-0.14443328887445195,-0.2889312918522128
MR,1,2018-03-01,community,test,9,8,3.559026084010437,7.5,7.5,0.1997336884154461,0.12484394506866417,-1.610770357667879,-2.080690761080268
MR,2,2018-04-01,community,test,6,8,3.559026084010437,8.5,8.5,-0.2937720329024677,-0.24968789013732834,-1.2249512107111278,-1.3875435805203225
MR,2,2018-06-01,community,test,5,8,3.559026084010437,8.5,8.5,-0.4112808460634548,-0.37453183520599254,-0.8884789740899147,-0.9820784724121581
MR,3,2018-08-01,community,test,4,8,3.559026084010437,9,9,-0.5549389567147613,-0.4993757802746567,-0.5888971591861463,-0.6943963999603773
MR,4,2017-10-01,community,test,2,8,3.559026084010437,7.5,7.5,-0.7323568575233023,-0.7490636704119851,-0.31148737353761813,-0.2889312918522128
MR,4,2017-11-01,community,test,8,8,3.559026084010437,7.5,7.5,0.06657789613848203,0,-2.7093826463359885,-100000
MR,4,2017-12-01,community,test,13,8,3.559026084010437,7.5,7.5,0.7323568575233023,0.6242197253433208,-0.31148737353761813,-0.4712528486461675
PD,1,2018-02-01,community,test,7,10.571428571428571,2.9358214555806383,8,8,-0.12484394506866417,-0.33751856352099363,-2.080690761080268,-1.0861347671569972
PD,1,2018-03-01,community,test,9,10.571428571428571,2.9358214555806383,8,8,0.12484394506866417,-0.14850816794923719,-2.080690761080268,-1.9071153192268275
PD,2,2018-04-01,community,test,9,10.571428571428571,2.9358214555806383,12,12,-0.2497918401332223,-0.14850816794923719,-1.3871273474237824,-1.9071153192268275
PD,2,2018-05-01,community,test,4,10.571428571428571,2.9358214555806383,12,12,-0.6661115736885929,-0.6210341568786283,-0.4062980944120562,-0.4763691955361029
