site_code,qtr,collection_period,com,is_baseline,shan,shan_b_all,shan_sd20,shan_b_qtr,shan_b_qtr_fill,shan_RR_b_qtr,shan_RR_b_all,shan_LRR_b_qtr,shan_LRR_b_all
AR,1,2018-02-01,community,test,3.3380399107867884,5.38505890282652,1.521606190286016,5.4186135149376495,5.4186135149376495,-0.3832605873352098,-0.37942477161227656,-0.9590401364709854,-0.9690989320673504
AR,2,2018-04-01,community,test,1.8110547361936729,5.38505890282652,1.521606190286016,3.515685536878972,3.515685536878972,-0.4834891775953117,-0.6624587851599534,-0.7267263478029795,-0.4117969341362649
AR,2,2018-05-01,community,test,3.5161955131240337,5.38505890282652,1.521606190286016,3.515685536878972,3.515685536878972,1.446459815339107e-4,-0.3464027776829966,-8.841221307543915,-1.0601530836106585
AR,2,2018-06-01,community,test,5.797222570140776,5.38505890282652,1.521606190286016,3.515685536878972,3.515685536878972,0.647118697738846,0.07639650923891111,-0.43522554266962177,-2.5718182744436775
AR,3,2017-09-01,community,test,4.723348664840922,5.38505890282652,1.521606190286016,5.965156267133015,5.965156267133015,-0.20782847289246437,-0.12265116097971085,-1.5710421890467727,-2.0984110425278133
AR,3,2018-07-01,community,test,3.2112654992705223,5.38505890282652,1.521606190286016,5.965156267133015,5.965156267133015,-0.4608901666740605,-0.4029230158019457,-0.7745955145362955,-0.9090097630703209
AR,3,2018-08-01,community,test,3.7892914162759954,5.38505890282652,1.521606190286016,5.965156267133015,5.965156267133015,-0.36415195746855966,-0.2957831444091348,-1.0101840328869385,-1.2181287133948395
AR,4,2017-11-01,community,test,4.951401969462621,5.38505890282652,1.521606190286016,5.689316303327104,5.689316303327104,-0.12947418507614827,-0.08038038901423343,-2.0442737607553356,-2.5209850502834
AR,4,2017-12-01,community,test,4.0092332206699846,5.38505890282652,1.521606190286016,5.689316303327104,5.689316303327104,-0.29478677673606796,-0.2550158778499579,-1.2215029747066635,-1.3664294696838966
EM,1,2018-02-01,community,test,4.643054981681949,4.7605575991859475,0.7364058706349667,4.06312119948411,4.06312119948411,0.1423806839509937,-0.02463079316431457,-1.9492509356166292,-3.7037578641885602
EM,1,2018-03-01,community,test,3.202715703073635,4.7605575991859475,0.7364058706349667,4.06312119948411,4.06312119948411,-0.21123984636633245,-0.32655341932736426,-1.554761078438062,-1.119161731619959
EM,2,2018-04-01,community,test,3.891488533581741,4.7605575991859475,0.7364058706349667,4.748144526586195,4.748144526586195,-0.18003992695427337,-0.1821734771114608,-1.71457663627692,-1.702795874942215
EM,2,2018-05-01,community,test,5.414610719037139,4.7605575991859475,0.7364058706349667,4.748144526586195,4.748144526586195,0.14006850542833563,0.1371020276461602,-1.9656236515649084,-1.9870299029815828
EM,2,2018-06-01,community,test,5.328669610463705,4.7605575991859475,0.7364058706349667,4.748144526586195,4.748144526586195,0.122006610062771,0.11908712964176363,-2.103680054874224,-2.1278998719214215
EM,3,2018-07-01,community,test,4.860268825015378,4.7605575991859475,0.7364058706349667,5.632243437709322,5.632243437709322,-0.13682050787361197,0.020901377618089266,-1.989085373672459,-3.8679402074425395
EM,4,2017-10-01,community,test,5.313999140898175,4.7605575991859475,0.7364058706349667,4.598721232964165,4.598721232964165,0.15520094876165227,0.1160119189854593,-1.863034558096728,-2.15406234327953
