site_code,qtr,collection_period,com,is_baseline,simp,simp_b_all,simp_sd20,simp_b_qtr,simp_b_qtr_fill,simp_RR_b_qtr,simp_RR_b_all,simp_LRR_b_qtr,simp_LRR_b_all
AR,1,2018-02-01,community,test,2.7454219860204496,4.476319511119715,1.4828216406063426,4.706815730848643,4.706815730848643,-0.41583005500944215,-0.3858168195129866,-0.8774786238004784,-0.9523925830041278
AR,2,2018-04-01,community,test,1.3861794266129406,4.476319511119715,1.4828216406063426,2.697682974756048,2.697682974756048,-0.48436377536453246,-0.688791798454748,-0.7249190525839992,-0.37281623294480687
AR,2,2018-05-01,community,test,3.0258645426210857,4.476319511119715,1.4828216406063426,2.697682974756048,2.697682974756048,0.12120383771833773,-0.32330621234255746,-2.110281541505507,-1.129155379023803
AR,2,2018-06-01,community,test,4.5353230071779365,4.476319511119715,1.4828216406063426,2.697682974756048,2.697682974756048,0.678676214887178,0.013151871129993461,-0.3876111209916046,-4.331191239226548
AR,3,2017-09-01,community,test,3.8691460055096423,4.476319511119715,1.4828216406063426,4.769473067856396,4.769473067856396,-0.18837370763772338,-0.1353388906218433,-1.6693274826417672,-1.9999733451834034
AR,3,2018-07-01,community,test,2.743486973947896,4.476319511119715,1.4828216406063426,4.769473067856396,4.769473067856396,-0.4238931918110293,-0.3862481334369631,-0.8582737615899148,-0.9512752833075203
AR,3,2018-08-01,community,test,3.571428571428571,4.476319511119715,1.4828216406063426,4.769473067856396,4.769473067856396,-0.2506645564100124,-0.20170006559904982,-1.3836396623129215,-1.6009735087912365
AR,4,2017-11-01,community,test,3.7970575580048327,4.476319511119715,1.4828216406063426,4.726739892971476,4.726739892971476,-0.19627050586968794,-0.15140739562380143,-1.628261439270199,-1.887781090930072
AR,4,2017-12-01,community,test,3.2419676126643395,4.476319511119715,1.4828216406063426,4.726739892971476,4.726739892971476,-0.31345868970138896,-0.2751368678481173,-1.1600876988791962,-1.2904866038618803
EM,1,2018-02-01,community,test,3.3387391542475,3.58578687140987,0.5921200501073116,3.0266004966111484,3.0266004966111484,0.10279213811125268,-0.06870477200043433,-2.275046406402624,-2.677936620733353
EM,1,2018-03-01,community,test,2.3083522057212034,3.58578687140987,0.5921200501073116,3.0266004966111484,3.0266004966111484,-0.23653038708631954,-0.35525872677425907,-1.441678592680933,-1.0349089471433548
EM,2,2018-04-01,community,test,3.175945501526897,3.58578687140987,0.5921200501073116,3.7719694789471934,3.7719694789471934,-0.15759618916496776,-0.1139782152111476,-1.8477192822760409,-2.171747943487605
EM,2,2018-05-01,community,test,4.085671873895526,3.58578687140987,0.5921200501073116,3.7719694789471934,3.7719694789471934,0.08294683410180767,0.1390196416979676,-2.489555429417525,-1.9731400486547415
EM,2,2018-06-01,community,test,4.643149749658625,3.58578687140987,0.5921200501073116,3.7719694789471934,3.7719694789471934,0.2303509522117949,0.294056048387032,-1.4681512538479784,-1.2239848890408807
EM,3,2018-07-01,community,test,3.8571428571428577,3.58578687140987,0.5921200501073116,4.090779738959898,4.090779738959898,-0.05697377003630509,0.0754649803887269,-2.8651642918621696,-2.5840865662432115
EM,4,2017-10-01,community,test,3.963095653276687,3.58578687140987,0.5921200501073116,3.4537977711212404,3.4537977711212404,0.14703453140411993,0.10493079689088415,-1.9170878122788302,-2.2544542233411637
EM,4,2017-11-01,community,test,3.418064140686543,3.58578687140987,0.5921200501073116,3.4537977711212404,3.4537977711212404,-0.010316315442148427,-0.046644235801874656,-4.574028613478962,-3.0652059219840577
EM,4,2017-12-01,community,test,2.4070648850958456,3.58578687140987,0.5921200501073116,3.4537977711212404,3.4537977711212404,-0.3021922627101191,-0.32780641024251256,-1.1966918326806664,-1.1153320575173251
GC,1,2018-02-01,community,test,2.2527649240261227,4.7650325129776085,1.6351110214410283,4.53866162128266,4.53866162128266,-0.5025427010356391,-0.5261257556097538,-0.6880746654739112,-0.6422150157132864
GC,2,2018-04-01,community,test,1.8235923633757027,4.7650325129776085,1.6351110214410283,3.632101683554469,3.632101683554469,-0.49655651525186734,-0.6160042139205638,-0.7000579746799465,-0.48450147469187926
GC,2,2018-05-01,community,test,3.6736795871307786,4.7650325129776085,1.6351110214410283,3.632101683554469,3.632101683554469,0.011415909600780842,-0.2285540303402637,-4.472747317481137,-1.4759826399679898
GC,2,2018-06-01,community,test,3.2510510856418824,4.7650325129776085,1.6351110214410283,3.632101683554469,3.632101683554469,-0.10462382190842749,-0.31706201438859727,-2.257384010370398,-1.1486578952516
GC,3,2018-07-01,community,test,2.845161290322581,4.7650325129776085,1.6351110214410283,4.729738645944064,4.729738645944064,-0.39761208294347034,-0.40206453410258286,-0.9222784149646186,-0.9111426706536042
GC,3,2018-08-01,community,test,5.398418527112574,4.7650325129776085,1.6351110214410283,4.729738645944064,4.729738645944064,0.1410794837265384,0.13264538250023347,-1.958431833058617,-2.0200760086519516
GC,4,2017-10-01,community,test,3.013642564802183,4.7650325129776085,1.6351110214410283,5.682998282734183,5.682998282734183,-0.4688839843896783,-0.3667807378097403,-0.757399909175443,-1.0029910541288518
GC,4,2017-11-01,community,test,2.8766526504446133,4.7650325129776085,1.6351110214410283,5.682998282734183,5.682998282734183,-0.4929468608484742,-0.3954695297677548,-0.7073538980745283,-0.9276815370489012
GC,4,2017-12-01,community,test,3.732549483495303,4.7650325129776085,1.6351110214410283,5.682998282734183,5.682998282734183,-0.3426048458778273,-0.21622534017856795,-1.0711775487735054,-1.531434173528836
MR,1,2018-02-01,community,test,3.471130986986271,4.13434813396766,2.4099968087116848,4.328291207919696,4.328291207919696,-0.1975801484622909,-0.16002930389596576,-1.6216109619626553,-1.8323983311683187
MR,1,2018-03-01,community,test,3.749132218365414,4.13434813396766,2.4099968087116848,4.328291207919696,4.328291207919696,-0.13349933459907154,-0.09294969996486596,-2.013658785430872,-2.3756967927395714
MR,2,2018-04-01,community,test,4.790551181102362,4.13434813396766,2.4099968087116848,5.93985991772529,5.93985991772529,-0.1931656799513901,0.15833685441538312,-1.6442070129867303,-1.8430305254499293
MR,2,2018-06-01,community,test,4,4.13434813396766,2.4099968087116848,5.93985991772529,5.93985991772529,-0.3260345528381656,-0.03241719315675341,-1.120751912930883,-3.429066343944143
MR,3,2018-08-01,community,test,2.8433420365535245,4.13434813396766,2.4099968087116848,2.6896345116836424,2.6896345116836424,0.05693642017267792,-0.3115100507201285,-2.8658200692758875,-1.1663236757209665
MR,4,2017-10-01,community,test,1.0668396786394634,4.13434813396766,2.4099968087116848,2.857250087400004,2.857250087400004,-0.6244346862620792,-0.7401666935715332,-0.4709085405351577,-0.3008798565683496
MR,4,2017-11-01,community,test,2.1432141964508875,4.13434813396766,2.4099968087116848,2.857250087400004,2.857250087400004,-0.2490316049119377,-0.48044562694846,-1.3901754632148453,-0.7330412162912088
MR,4,2017-12-01,community,test,4.359850681739094,4.13434813396766,2.4099968087116848,2.857250087400004,2.857250087400004,0.5240563426755824,0.054412066863587905,-0.6461560762513635,-2.911169332372704
PD,1,2018-02-01,community,test,4.305134130412941,5.5554532114329565,1.2421430559481987,4.603614095288034,4.603614095288034,-0.06469547706210106,-0.2246571902628738,-2.7380639862233074,-1.4931796374663748
PD,1,2018-03-01,community,test,4.202992518703241,5.5554532114329565,1.2421430559481987,4.603614095288034,4.603614095288034,-0.08683465246778105,-0.24300998343699892,-2.4437495150046797,-1.414652752382641
PD,2,2018-04-01,community,test,4.940494724096177,5.5554532114329565,1.2421430559481987,5.946547373250745,5.946547373250745,-0.16889862299634856,-0.11049567105756766,-1.778456607976344,-2.202778934741341
PD,2,2018-05-01,community,test,1.627022299956275,5.5554532114329565,1.2421430559481987,5.946547373250745,5.946547373250745,-0.7251726214236619,-0.705860019343369,-0.32134555395301956,-0.34833833403230846
PD,2,2018-06-01,community,test,3.575360027349258,5.5554532114329565,1.2421430559481987,5.946547373250745,5.946547373250745,-0.39808083396597377,-0.355782918094801,-0.9211001939027773,-1.0334345147545112
PD,3,2018-08-01,community,test,8.218951902368989,5.5554532114329565,1.2421430559481987,6.187410719519226,6.187410719519226,0.32780483250065484,0.4785771418335673,-1.1153368705582092,-0.7369378651299047
PD,4,2017-10-01,community,test,5.526761264625342,5.5554532114329565,1.2421430559481987,6.755961381877399,6.755961381877399,-0.18167412550483442,-0.005155365738889639,-1.7055407160050755,-5.267717215651728
PD,4,2017-11-01,community,test,5.2660125374761515,5.5554532114329565,1.2421430559481987,6.755961381877399,6.755961381877399,-0.2202124369778506,-0.05200666737476384,-1.5131625759168035,-2.956383349874572
PD,4,2017-12-01,community,test,6.438708222961168,5.5554532114329565,1.2421430559481987,6.755961381877399,6.755961381877399,-0.04688959055633877,0.15870316000748422,-3.059959577922631,-1.8407197398176132
PL,1,2018-02-01,community,test,2.999269866253218,3.854309581215358,1.0235045758935188,3.8138523576120145,3.8138523576120145,-0.21302665876657986,-0.2212658424466144,-1.546337962575843,-1.508390393379079
PL,1,2018-03-01,community,test,1.7213759766173908,3.854309581215358,1.0235045758935188,3.8138523576120145,3.8138523576120145,-0.5472168340467438,-0.551957228004269,-0.6029101491726852,-0.5942847212067107
PL,2,2018-04-01,community,test,3.5328238832367616,3.854309581215358,1.0235045758935188,3.9052942184901758,3.9052942184901758,-0.09513214447445716,-0.08319356698059537,-2.352488359450237,-2.4865852540890825
PL,2,2018-05-01,community,test,3.358293495253416,3.854309581215358,1.0235045758935188,3.9052942184901758,3.9052942184901758,-0.13970871477640717,-0.12835826828500133,-1.9681956325861103,-2.0529299539112515
PL,2,2018-06-01,community,test,4.167004956623342,3.854309581215358,1.0235045758935188,3.9052942184901758,3.9052942184901758,0.06684318560204845,0.08091882103028575,-2.705405916276222,-2.514308836360087
PL,3,2018-08-01,community,test,3.068841173578102,3.854309581215358,1.0235045758935188,2.861996408710854,2.861996408710854,0.07202124774246982,-0.20326228816020983,-2.6307940959674423,-1.5932580740289337
PL,4,2017-10-01,community,test,3.375612105643414,3.854309581215358,1.0235045758935188,4.178062362935876,4.178062362935876,-0.1916041805857771,-0.1238765853281842,-1.6523235943421986,-2.088469488608151
PL,4,2017-11-01,community,test,3.5625830067053226,3.854309581215358,1.0235045758935188,4.178062362935876,4.178062362935876,-0.1469604086313308,-0.07549254747293947,-1.9175920575175458,-2.583721336566898
PL,4,2017-12-01,community,test,3.5790204193915445,3.854309581215358,1.0235045758935188,4.178062362935876,4.178062362935876,-0.14303558343491252,-0.07123889948207322,-1.944661844467397,-2.6417162687137825
SF,1,2018-02-01,community,test,1.4390421249243472,2.670623647250806,1.3027595902137878,1.2835559402933971,1.2835559402933971,0.12020058799751913,-0.45943843090004227,-2.1185933650667126,-0.7777503376764816
SF,2,2018-04-01,community,test,3.442361381411486,2.670623647250806,1.3027595902137878,4.533631123230372,4.533631123230372,-0.24017569037229183,0.28789484676528876,-1.426384580235207,-1.24515998091535
SF,2,2018-05-01,community,test,2.8787358551948232,2.670623647250806,1.3027595902137878,4.533631123230372,4.533631123230372,-0.364223068103947,0.07763574277107238,-1.0099887745842329,-2.5557273551178303
SF,2,2018-06-01,community,test,1.9230507270824853,2.670623647250806,1.3027595902137878,4.533631123230372,4.533631123230372,-0.5745581728236447,-0.2788802228671737,-0.55415392864092206,-1.2769728980599506
SF,3,2017-09-01,community,test,2.146484245071734,2.670623647250806,1.3027595902137878,2.416380949321791,2.416380949321791,-0.11123426613017925,-0.19552890340149714,-2.1961167959810086,-1.6320470669985687
SF,3,2018-07-01,community,test,3.4682613597372676,2.670623647250806,1.3027595902137878,2.416380949321791,2.416380949321791,0.43351824482033313,0.2975567694124101,-0.8358213964030473,-1.21215025064625
SF,4,2017-11-01,community,test,2.7902215599414295,2.670623647250806,1.3027595902137878,2.448926576157663,2.448926576157663,0.13879836311219856,0.04461570456310827,-1.9747330241187524,-3.1096693616868403
SF,4,2017-12-01,community,test,1.5591214190448843,2.670623647250806,1.3027595902137878,2.448926576157663,2.448926576157663,-0.3618673146813497,-0.41464314818898806,-1.0164776683758028,-0.88033701254561
TR,1,2018-02-01,community,test,1.4263322093607802,2.884835103641942,1.4933194635510572,2.2459637092416664,2.2459637092416664,-0.363317679501326,-0.5038293519538452,-1.0124776772965016,-0.6855176556375863
TR,2,2018-04-01,community,test,1.9643675549102448,2.884835103641942,1.4933194635510572,2.863457125860457,2.863457125860457,-0.3128947228265951,-0.31796890523182925,-1.1618884938167482,-1.145801683272805
TR,2,2018-06-01,community,test,2.491048877900635,2.884835103641942,1.4933194635510572,2.863457125860457,2.863457125860457,-0.12960285525342732,-0.13603062407454275,-2.0432804640302025,-1.994875241575928
TR,3,2018-07-01,community,test,1.3658168230119498,2.884835103641942,1.4933194635510572,2.3764479795585087,2.3764479795585087,-0.42348761221835857,-0.5247339576333524,-0.8592310162780379,-0.6448638921953952
TR,4,2017-10-01,community,test,1.11797317632741,2.884835103641942,1.4933194635510572,3.7340359027069976,3.7340359027069976,-0.6987280021775788,-0.6103497657229849,-0.3584937366862702,-0.4937230997068462
TR,4,2017-11-01,community,test,1.9124404671621416,2.884835103641942,1.4933194635510572,3.7340359027069976,3.7340359027069976,-0.4865325768451669,-0.3359067448285561,-0.7204514179428896,-1.0909217026948237
TR,4,2017-12-01,community,test,1.7518021179507732,2.884835103641942,1.4933194635510572,3.7340359027069976,3.7340359027069976,-0.5294377074009995,-0.39139810908943296,-0.6359397650520434,-0.9380300551778891
WM,1,2018-02-01,community,test,3.23051705297061,4.0280204795197525,0.7677823500253458,3.9450049956040525,3.9450049956040525,-0.18065411887661043,-0.19749860868560795,-1.7111710213350402,-1.6220237392956072
WM,1,2018-03-01,community,test,3.770090608857651,4.0280204795197525,0.7677823500253458,3.9450049956040525,3.9450049956040525,-0.04422608490781097,-0.06387532504361576,-3.1184405076869055,-2.750822141725764
WM,2,2018-04-01,community,test,2.0413824465666215,4.0280204795197525,0.7677823500253458,4.049234150269007,4.049234150269007,-0.4946380596372655,-0.4919831494240972,-0.7039289765171632,-0.7093108122143579
WM,2,2018-05-01,community,test,3.278079008520527,4.0280204795197525,0.7677823500253458,4.049234150269007,4.049234150269007,-0.1899755257275256,-0.18572007616177746,-1.6608600270790155,-1.6835147057412396
WM,2,2018-06-01,community,test,4.853211009174312,4.0280204795197525,0.7677823500253458,4.049234150269007,4.049234150269007,0.19806121774276678,0.20435521162901593,-1.6191791155550248,-1.5878955658519103
WM,4,2017-10-01,community,test,2.44529262086514,4.0280204795197525,0.7677823500253458,3.308538617160538,3.308538617160538,-0.26012835644926824,-0.39195637235669706,-1.3465800911347916,-0.9366047403938494
WM,4,2017-11-01,community,test,2.8675699300699296,4.0280204795197525,0.7677823500253458,3.308538617160538,3.308538617160538,-0.13288038439881633,-0.287381046068354,-2.0183059208545484,-1.246946257169767
WM,4,2017-12-01,community,test,4.843400264675609,4.0280204795197525,0.7677823500253458,3.308538617160538,3.308538617160538,0.4625113113278623,0.2019256190728461,-0.7710842654036153,-1.5998558718031042
