term,annualtemp,annualrain,developedland,forestland,cropland,otherland,q_med,q_max,q_mu,q_sd,q_rsd,q_q25,q_q75,q_WCDC,q_CDC,q_FS,q_DS,q_LFPP,q_HFPP3,q_HFPP7,q_HFPP15,ammonia,bluegreen_cyano,canopy,conductivity,d_oxygen,depth_mx,diatoms,doc,gravel,green_algae,nitrate,ph,phosphate,sand,silt,temperature,turbidity,width
annualtemp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
annualrain,-.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
developedland, .50,-.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
forestland,-.15, .25,-.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cropland,-.86, .82,-.18,-.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
otherland, .92,-.93, .28,-.18,-.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
q_med,-.44, .31,-.34,-.29, .38,-.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
q_max,-.21, .05,-.35,-.20, .11, .07, .70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
q_mu,-.61, .52,-.43,-.19, .50,-.35, .95, .62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
q_sd,-.49, .37,-.48,-.15, .34,-.18, .89, .84, .93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
q_rsd,-.06, .20,-.41, .82,-.25,-.13,-.43,-.39,-.40,-.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
q_q25,-.31, .14,-.24,-.37, .31,-.07, .92, .84, .79, .82,-.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,
q_q75,-.55, .45,-.34,-.27, .51,-.33, .96, .51, .94, .80,-.38, .83,,,,,,,,,,,,,,,,,,,,,,,,,,,
q_WCDC, .02, .08,-.35, .76,-.34,-.01,-.30,-.31,-.35,-.38, .96,-.33,-.27,,,,,,,,,,,,,,,,,,,,,,,,,,
q_CDC,-.19, .34,-.36, .82,-.09,-.32,-.50,-.48,-.40,-.44, .96,-.57,-.42, .86,,,,,,,,,,,,,,,,,,,,,,,,,
q_FS,-.33, .49,-.36, .73, .10,-.46,-.51,-.51,-.34,-.39, .85,-.61,-.41, .69, .96,,,,,,,,,,,,,,,,,,,,,,,,
q_DS,-.44, .51,-.05, .20, .27,-.40, .15,-.28, .38, .21, .00,-.20, .26,-.06, .16, .29,,,,,,,,,,,,,,,,,,,,,,,
q_LFPP,-.11, .01, .23,-.69, .40,-.07, .31, .36, .39, .44,-.92, .34, .29,-.99,-.80,-.62, .06,,,,,,,,,,,,,,,,,,,,,,
q_HFPP3,-.42, .55, .03, .35, .31,-.55,-.23,-.68,-.04,-.30, .40,-.53,-.04, .33, .56, .65, .79,-.34,,,,,,,,,,,,,,,,,,,,,
q_HFPP7,-.43, .53, .23, .10, .45,-.59,-.25,-.64,-.03,-.26, .11,-.51,-.06,-.01, .33, .49, .80, .00, .93,,,,,,,,,,,,,,,,,,,,
q_HFPP15,-.45, .53, .26, .09, .48,-.63,-.26,-.58,-.03,-.23, .04,-.48,-.09,-.09, .29, .47, .77, .09, .87, .99,,,,,,,,,,,,,,,,,,,
ammonia, .10,-.02,-.19, .52,-.31, .07,-.12,-.35,-.26,-.39, .78,-.16,-.06, .90, .62, .42,-.11,-.94, .29,-.05,-.16,,,,,,,,,,,,,,,,,,
bluegreen_cyano, .19,-.24, .17, .27,-.23, .06,-.38, .17,-.52,-.32, .31,-.05,-.48, .33, .25, .13,-.66,-.32,-.37,-.40,-.32, .22,,,,,,,,,,,,,,,,,
canopy, .37,-.49, .33,-.49,-.19, .43, .31, .32, .18, .22,-.75, .41, .26,-.63,-.84,-.90,-.28, .58,-.58,-.45,-.41,-.38,-.07,,,,,,,,,,,,,,,,
conductivity, .66,-.68, .82,-.24,-.53, .56,-.16,-.25,-.27,-.28,-.27,-.17,-.22,-.16,-.28,-.36, .13, .03, .02, .11, .10,-.02,-.03, .30,,,,,,,,,,,,,,,
d_oxygen,-.19, .20,-.37, .40, .09,-.26, .06, .24, .08, .18, .32, .19, .01, .23, .37, .35,-.28,-.13,-.24,-.25,-.18, .03, .35,-.33,-.31,,,,,,,,,,,,,,
depth_mx,-.71, .71,-.27,-.13, .65,-.58, .56, .08, .64, .45, .02, .32, .64, .03, .09, .20, .59,-.02, .53, .49, .44, .09,-.52,-.46,-.22,-.07,,,,,,,,,,,,,
diatoms, .42,-.42, .19, .16,-.36, .27,-.37, .02,-.34,-.16,-.16,-.18,-.44,-.26,-.10,-.11,-.36, .29,-.46,-.31,-.20,-.40, .36, .36, .17, .46,-.80,,,,,,,,,,,,
doc, .23,-.30, .55,-.40,-.10, .24, .28,-.12, .14,-.04,-.43, .19, .33,-.23,-.52,-.60, .17, .10, .10, .10, .04, .14,-.24, .60, .57,-.70, .06,-.31,,,,,,,,,,,
gravel, .55,-.63, .36,-.37,-.30, .47,-.30, .23,-.51,-.30,-.20, .07,-.44,-.15,-.31,-.39,-.91, .12,-.75,-.65,-.59,-.12, .69, .34, .11, .06,-.65, .40,-.06,,,,,,,,,,
green_algae,-.38, .40,-.49, .41, .02,-.17, .00, .16, .17, .27, .24,-.16,-.01, .18, .25, .31, .47,-.13, .31, .20, .18,-.03,-.15,-.27,-.37,-.33, .20,-.33,-.17,-.41,,,,,,,,,
nitrate, .53,-.55, .00,-.36,-.26, .50,-.20, .13,-.34,-.20,-.20, .05,-.28,-.21,-.31,-.35,-.84, .22,-.76,-.69,-.67,-.17, .23, .38,-.15, .16,-.62, .46,-.23, .76,-.45,,,,,,,,
ph, .14,-.20, .54, .06,-.15, .03, .12, .05, .02,-.00,-.03, .19, .06, .08,-.00,-.10, .09,-.14, .06, .09, .13, .14, .32, .01, .67, .26, .06, .13, .29, .02,-.43,-.41,,,,,,,
phosphate, .49,-.54, .04,-.42,-.22, .48,-.18, .22,-.35,-.18,-.25, .11,-.28,-.23,-.37,-.42,-.89, .24,-.80,-.72,-.70,-.18, .35, .43,-.17, .05,-.62, .38,-.15, .85,-.36, .97,-.41,,,,,,
sand,-.80, .77,-.61, .22, .53,-.58, .63, .37, .79, .71,-.06, .41, .70,-.08,-.02, .05, .57, .15, .30, .23, .22,-.11,-.42,-.03,-.52,-.07, .57,-.40, .03,-.69, .62,-.56,-.24,-.52,,,,,
silt, .56,-.45, .62,-.24,-.32, .37,-.47,-.72,-.46,-.59,-.03,-.58,-.41,-.04, .03, .06, .24,-.05, .35, .42, .37, .04,-.35,-.10, .69,-.30,-.05, .02, .25,-.07,-.38, .01, .18,-.10,-.61,,,,
temperature, .64,-.59,-.14,-.04,-.61, .71,-.14, .10,-.24,-.07, .15,-.05,-.28, .16, .03,-.05,-.43,-.16,-.49,-.56,-.59, .08,-.02,-.08, .16, .29,-.30, .25,-.37, .33,-.27, .60,-.11, .47,-.55, .32,,,
turbidity,-.54, .57,-.05, .01, .56,-.60,-.04,-.33, .17,-.02,-.19,-.24, .16,-.31,-.04, .12, .54, .33, .54, .64, .65,-.28,-.38, .10,-.31,-.39, .19,-.12, .20,-.48, .37,-.35,-.40,-.32, .56,-.10,-.77,,
width,-.68, .60,-.29,-.19, .57,-.45, .82, .38, .87, .71,-.31, .61, .89,-.23,-.31,-.25, .54, .23, .26, .23, .19,-.07,-.52, .11,-.22,-.29, .77,-.66, .40,-.59, .35,-.57,-.02,-.50, .84,-.38,-.53, .40,
