site_code,collection_period,ammonia,bluegreen_cyano,canopy,conductivity,d_oxygen,depth_mx,diatoms,doc,flood_duration,flood_total_days,gravel,green_algae,lf_days,lf_drought_duration,lf_min,nitrate,ph,phosphate,q_med_yr,q_q25_yr,rain,sand,silt,temperature,turbidity,width,wk4_75q_30mu,wk4_iqr,wk4_max,wk4_max_30mu,wk4_max_to_annual_med,wk4_max_to_wk4_med,wk4_max_to_wk4_med_30mu,wk4_med,wk4_med_30mu,wk4_min,wk4_min_to_annual_med,wk4_min_to_wk4_med,wk4_min_to_wk4_med_30mu
AR,2017-03-01,0.105,NA,0.4475675675,710.125,82.8,0.29,NA,NA,0,0,0.45,NA,0,1,83.251539,0.6379999997686275,7.0775,4.128,98.8258065,71.924799,40228.27642555824,0.175,0.0375,19.05,700.875,3.475,294.9268436008064,34.82972550000001,297.32692499999996,4827.803697774193,3.0085959885386817,2.66836086404066,1.6405009701887456,111.42680475,181.2415417016129,83.251539,0.8424068767908309,0.747141041931385,0.4593402716528488
AR,2017-08-01,0.125,0.35,0.36824324325,1168.875,69.9,0.08625,0.26,5.7775,NA,NA,0.2375,0.2675,NA,NA,NA,3.510025,7.6425,1.58,NA,NA,53587.002616879145,0.45,0,29.2375,35.38405238705126,3.0650000000000004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AR,2017-09-01,0.0875,1.3225,0.783783783875,913.5,66.0375,0.32437499999999997,0.8788750000000001,6.605,1,1,0.38125000000000003,0.0875,0,1,39.64359,2.3591375,8.276250000000001,1.4362499999999998,98.8258065,71.924799,145918.56505717602,0.3625,0.08750000000000001,27.05,66.30139893336886,3.1041666666666665,322.8189408508065,47.92626862499998,2681.6056949999997,10798.457192612905,27.134670487106018,23.46964064436183,16.762497501927083,114.25848975,159.9765007983871,39.64359,0.4011461318051576,0.34696406443618344,0.2478088331858281
AR,2017-11-01,0.07,2.14,0.70945945975,1060.25,86.55,0.2725,1.6475,4.89,0,0,0.425,0.0425,0,1,89.1980775,11.73375,7.797499999999999,2.775,98.8258065,71.924799,26619.368697841022,0.4,0.025,20.95,66.26893266481267,2.9625,328.8065844556452,10.618818750000004,171.8832795,10821.412110048386,1.7392550143266474,1.6721763085399448,0.9292345679012344,102.7901655,184.97297177419355,89.1980775,0.9025787965616046,0.8677685950413223,0.4822222222222222
AR,2017-12-01,0.105,1.0725,0.79054054075,784.7750000000001,78.65,0.27,0.605,9.6125,0,0,0.275,0.025,0,1,87.782235,14.245,7.725,2.885,98.8258065,71.924799,18010.350697189428,0.3375,0.075,13.15,NA,3.5,292.92639516532256,10.618818749999988,120.3466125,5554.953002370968,1.2177650429799427,1.1548913043478262,0.6398892639452148,104.206008,188.07412357258065,87.782235,0.8882521489971347,0.8423913043478262,0.4667427572306273
AR,2018-01-01,0.1525,1.13375,0.72972973,731.5,97.55,0.235,0.97,NA,NA,NA,0.625,0,NA,NA,NA,12.40475,7.7525,1.6425,NA,NA,71853.93227407878,0.1625,0.025,8,0.2,3.2375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AR,2018-02-01,0.35,2.445,0.71621621625,763.25,85.575,0.16,3.005,NA,0,0,0.375,0.105,0,1,105.338682,9.706,8.057500000000001,1.2825,114.96641099999998,69.093114,13878.418577096028,0.3,0.07500000000000001,14.3,NA,3.2175,238.07619999193548,11.468324249999997,227.66747399999997,3663.972028306451,1.980295566502463,1.914285714285714,1.3499796885578874,118.93077,168.64511068548387,105.338682,0.9162561576354682,0.8857142857142858,0.6246174678402167
AR,2018-03-01,0.2125,0.64,0.71621621625,1402.25,67.525,0.225,0.65,NA,NA,NA,0.5,0.265,NA,NA,NA,10.14025,8.01,2.495,NA,NA,25323.607330737825,0.4,0.1,20.55,239.125,3.365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AR,2018-04-01,0.12666666666666668,0.9875,0.78378378375,1288.25,69.05,0.18,0.6799999999999999,NA,0,0,0.6,0,0,1,89.481246,8.588666666666667,8.247499999999999,3.38,114.96641099999998,69.093114,40309.15477721,0.17500000000000002,0.07500000000000001,23.025,4.275,4.1125,384.4149404516129,12.742582499999996,455.901285,16013.078195854838,3.965517241379311,4.363143631436314,2.3666366352126698,104.4891765,192.63679020967743,89.481246,0.7783251231527095,0.8563685636856369,0.46450756318459857
AR,2018-05-01,0.0775,1.8375,0.78378378375,1247,54.15,0.1875,1.2225,NA,0,0,0.825,0,0,1,63.99608099999999,4.43225,8.205,1.6275,114.96641099999998,69.093114,18193.11407250791,0.15000000000000002,0.025,24.55,1.65,3.6,424.1270389596774,14.158425000000008,244.65758400000001,9896.720806064515,2.1280788177339907,3.091234347048301,1.2266825436808722,79.14559575,199.4465359112903,63.99608099999999,0.5566502463054187,0.808586762075134,0.320868350546154
AR,2018-06-01,0.0225,1.71,0.85810810825,1780.25,88.425,0.11,1.205,NA,0,0,0.35,0,0,1,39.64359,3.766,8.834999999999999,2.665,114.96641099999998,69.093114,30147.403527629565,0.125,0.0875,29.575,1.2000000000000002,2.783333333333333,703.7148276048387,16.84852575,158.2911915,38520.03219880645,1.3768472906403944,2.6682577565632455,0.6303746817024373,59.32380075,251.10651822580644,39.64359,0.34482758620689663,0.6682577565632458,0.15787559112404512
AR,2018-07-01,0.18,1.0075,0.87162162175,1671.75,54.975,0.205,0.555,NA,6,7,0.8375,0,0,1,31.4317035,3.0275,7.8925,1.405,114.96641099999998,69.093114,188665.13382484412,0.1625,0,28.475,0.9,3.2750000000000004,407.9498965887096,425.8146318749999,58899.047999999995,7323.851815064516,512.3152709359606,1191.9770773638968,321.4917857053823,49.41290325,183.20545226612904,31.4317035,0.2733990147783252,0.6361031518624642,0.17156532794854537
AR,2018-08-01,0.205,1.1466666666666667,0,1814.75,66.9,0.47,0.30666666666666664,NA,3,4,0.3625,0.06666666666666667,0,1,33.69705149999999,3.0475,8.515,1.55,114.96641099999998,69.093114,72661.5929669437,0.325,0.0625,28.3,1.675,3.65,921.4988075080644,127.496617125,6909.3114,21731.830473774193,60.098522167487694,122.30576441102755,24.596774193548388,56.49211575,280.903152,33.69705149999999,0.29310344827586204,0.5964912280701754,0.11995967741935484
AR,2018-09-01,0.19,0.655,0.614864865,1450.05,77,0.44,0.265,NA,0,0,0.6,0,0,1,30.8653665,6.4925,8.6275,1.6124999999999998,114.96641099999998,69.093114,15557.7200327707,0.25,0.1125,27.175,29.375,3.21,269.7728030564516,17.202486374999992,101.374323,9569.231868580644,0.8817733990147785,1.6347031963470322,0.798445987265729,62.0139015,126.96453437903226,30.8653665,0.26847290640394095,0.497716894977169,0.2431022698658225
AR,2018-11-01,0.17,0.19333333333333333,0.38513513525,262.8,83.3,0.705,0.06,NA,NA,NA,0.3333333333333333,0.05,NA,NA,NA,0.9525,8.2775,0.3175,NA,NA,162413.37440951072,0.4,0.26666666666666666,14.975,33.175000000000004,7.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AR,2019-03-01,NA,0.4975,0.2575,1387.75,88.425,0.1925,0.8575,NA,0,0,0.375,0.135,0,1,127.99216199999998,NA,NA,NA,114.1169055,94.8614475,15593.686275539758,0.1375,0.05,21.575,22.75,3.13,326.75589644758065,15.645059624999988,207.845679,5051.214509806452,1.8213399503722083,1.363045496750232,1.1761908454162466,152.48623725,176.7108457016129,127.99216199999998,1.1215880893300243,0.8393686165273908,0.7243028094388875
AR,2019-09-01,NA,1.15,0.31,669.25,77.19,0.18025,0.7425,NA,0,0,0.675,0.0025,0,1,60.598059,NA,NA,NA,114.1169055,94.8614475,6117.714148759719,0.1375,0.1375,27.775,14.65,4.8525,407.20543746774194,73.12826512499998,555.01026,12599.280970064516,4.863523573200992,6.500829187396351,3.4237737018567045,85.37530275,162.10483178225806,60.598059,0.5310173697270472,0.7097844112769486,0.3738201898965993
AR,2020-01-01,0.08799,0.2675,0.777027027027027,1318,80.025,0.2725,0.53,7.686,0,0,NA,0.395,0,1,95.4277845,11.1645,7.7375,1.86575,97.976301,77.021832,32896.25375315576,NA,NA,21.45,6.074999999999999,4.9775,NA,19.113873749999986,181.794177,NA,1.8554913294797688,1.635668789808917,NA,111.14363625,NA,95.4277845,0.9739884393063584,0.8585987261146497,NA
AR,2020-02-01,0.210875,0.3775,0.6283783783783785,1128.75,118.575,0.3025,0.475,7.71275,NA,NA,0.325,0.2425,NA,NA,NA,10.9015,7.8825,1.8303,NA,NA,30165.11271173743,0.325,0.225,14.95,3.15,5.424875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
