site_code,collection_period,canopy,d_oxygen,depth_mx,doc,ph,sand,silt,temperature,width,wk4_max_30mu,wk4_min_to_wk4_med,ln_flood_duration,ln_flood_total_days,ln_lf_days,ln_lf_min,ln_nitrate,ln_turbidity,ln_wk4_iqr,ln_wk4_max,ln_wk4_max_to_annual_med,ln_wk4_max_to_wk4_med,ln_wk4_max_to_wk4_med_30mu,ln_wk4_med,ln_wk4_min,ln_wk4_min_to_annual_med,sqrt_ammonia,sqrt_bluegreen_cyano,sqrt_conductivity,sqrt_diatoms,sqrt_gravel,sqrt_green_algae,sqrt_lf_drought_duration,sqrt_phosphate,sqrt_q_med_yr,sqrt_q_q25_yr,sqrt_rain,sqrt_wk4_75q_30mu,sqrt_wk4_med_30mu,sqrt_wk4_min_to_wk4_med_30mu
AR,2017-03-01,0.4475675675,82.8,0.29,NA,7.0775,0.175,0.0375,19.05,3.475,4827.803697774193,0.747141041931385,NA,NA,NA,4.4218666151761665,-0.44941699599999996,6.552329554443837,3.550471203209903,5.694832290989054,1.1014735209491417,0.9814643752941109,0.4950016648170435,4.713367915694943,4.4218666151761665,-0.17149215486374558,-2.2537949288246137,NA,6.565441010877291,NA,-0.7985076962177716,NA,0,1.4177930281792617,4.593358770039912,4.275621114856022,10.602325421012331,5.686727337791885,5.199830626172011,-0.7779640109958439
AR,2017-08-01,0.36824324325,69.9,0.08625,5.7775,7.6425,0.45,0,29.2375,3.0650000000000004,NA,NA,NA,NA,NA,NA,1.255623159959532,3.5662612210943005,NA,NA,NA,NA,NA,NA,NA,NA,-2.0794415416798357,-1.0498221244986778,7.063797026755611,-1.3470736479666092,-1.4375876555074412,-1.3186357126460757,NA,0.4574248470388755,NA,NA,10.889061829162745,NA,NA,NA
AR,2017-09-01,0.783783783875,66.0375,0.32437499999999997,6.605,8.276250000000001,0.3625,0.08750000000000001,27.05,3.1041666666666665,10798.457192612905,0.34696406443618344,0,0,NA,3.6799292704467894,0.8582960861368124,4.1942109970200265,3.869663759629869,7.894171034017609,3.3008122639776967,3.1557076984701204,2.8191440995803188,4.738463335547489,3.6799292704467894,-0.9134294995931228,-2.436116485618568,0.2795238847503174,6.817283375818062,-0.12911259846281156,-0.9642999510605157,-2.436116485618568,0,0.3620355501808282,4.593358770039912,4.275621114856022,11.890803971495936,5.7770916114117,5.0750269344372905,-1.3950976639905006
AR,2017-11-01,0.70945945975,86.55,0.2725,4.89,7.797499999999999,0.4,0.025,20.95,2.9625,10821.412110048386,0.8677685950413223,NA,NA,NA,4.490859486663118,2.4624693046690647,4.193721200112772,2.3626277808138507,5.1468156388969835,0.553456868857071,0.5141259567946475,-0.0733940769900409,4.632689682102336,4.490859486663118,-0.10249928337679413,-2.659260036932778,0.7608058290337602,6.9662600083547,0.49925898739452523,-0.8556661100577202,-3.158251203051766,0,1.0206507471983979,4.593358770039912,4.275621114856022,10.189394376335096,5.795469688698195,5.220209715887024,-0.7293502292239059
AR,2017-12-01,0.79054054075,78.65,0.27,9.6125,7.725,0.3375,0.075,13.15,3.5,5554.953002370968,0.8423913043478262,NA,NA,NA,4.474859145316677,2.6564059679498717,NA,2.362627780813849,4.790376016761902,0.19701724672198967,0.14400623075548596,-0.44646014268458833,4.646369786006416,4.474859145316677,-0.11849962472323523,-2.2537949288246137,0.069992371820035,6.665397052494019,-0.5025268209512956,-1.2909841813155656,-3.6888794541139363,0,1.0595248999600628,4.593358770039912,4.275621114856022,9.79870191033963,5.679921366418434,5.23683615944649,-0.7619770141298132
AR,2018-01-01,0.72972973,97.55,0.235,NA,7.7525,0.1625,0.025,8,3.2375,NA,NA,NA,NA,NA,NA,2.51807946377664,-1.6094379124341003,NA,NA,NA,NA,NA,NA,NA,NA,-1.8805906829346708,0.12553072244720934,6.595097220460179,-0.030459207484708574,-0.4700036292457356,NA,NA,0.4962194713766286,NA,NA,11.182390618945975,NA,NA,NA
AR,2018-02-01,0.71621621625,85.575,0.16,NA,8.057500000000001,0.3,0.07500000000000001,14.3,3.2175,3663.972028306451,0.8857142857142858,NA,NA,NA,4.657180702110631,2.2727442509830245,NA,2.4395888219499784,5.427886117016452,0.6832461095772338,0.6493445579015522,0.30008954682447725,4.778541559114899,4.657180702110631,-0.08745930532858585,-1.0498221244986778,0.8940451229268352,6.6375856316149875,1.1002775679871708,-0.9808292530117262,-2.2537949288246137,0,0.24881129806278754,4.744640007439218,4.235455073130687,9.538090292201947,5.47259079046197,5.127796570191974,-0.4706158680813424
AR,2018-03-01,0.71621621625,67.525,0.225,NA,8.01,0.4,0.1,20.55,3.365,NA,NA,NA,NA,NA,NA,2.316512652691459,5.4769864277604166,NA,NA,NA,NA,NA,NA,NA,NA,-1.5488132906176655,-0.4462871026284195,7.245833368388446,-0.4307829160924542,-0.6931471805599453,-1.3280254529959148,NA,0.914288729203482,NA,NA,10.139492335728677,NA,NA,NA
AR,2018-04-01,0.78378378375,69.05,0.18,NA,8.247499999999999,0.17500000000000002,0.07500000000000001,23.025,4.1125,16013.078195854838,0.8563685636856369,NA,NA,NA,4.494029061424397,2.150443504701223,1.4527841023887236,2.5449493376078047,6.122276305815994,1.3776362983767763,1.4731928139379813,0.8614698059518904,4.649083491878012,4.494029061424397,-0.2506109460148203,-2.0661963149298153,-0.012578782206860073,7.1610399872083335,-0.3856624808119848,-0.5108256237659907,NA,0,1.2178757094949273,4.744640007439218,4.235455073130687,10.604333887824149,5.951722543280518,5.2608064998641035,-0.7667774384397061
AR,2018-05-01,0.78378378375,54.15,0.1875,NA,8.205,0.15000000000000002,0.025,24.55,3.6,9896.720806064515,0.808586762075134,NA,NA,NA,4.15882184710977,1.4889073557963528,0.5007752879124892,2.650309853265632,5.499859616641541,0.7552196092023232,1.128570476208902,0.20431340664706943,4.371289140432639,4.15882184710977,-0.5858181603294468,-2.557477342622836,0.6084059521048546,7.1284959456800365,0.20089794236689,-0.19237189264745613,NA,0,0.48704509510058724,4.744640007439218,4.235455073130687,9.80879845380895,6.0500330305427115,5.2955462099944715,-1.1367243628847006
