site_code,annualrain,collection_period,lowest_taxon,L_mu_spe,L_me_spe,L_sd_spe,L_n_spe,family,L_mu_fam,L_me_fam,L_sd_fam,L_n_fam,L_mu_com,L_me_com,L_sd_com,L_n_com,year,month,day,nday,qtr,year_week,year_month,ammonia,bluegreen_cyano,canopy,conductivity,d_oxygen,depth_mx,diatoms,doc,gravel,green_algae,ln_q_CDC,ln_q_FS,ln_q_HFPP15,ln_q_HFPP7,ln_q_WCDC,ln_q_max,ln_q_med,ln_q_min,ln_q_mu,ln_q_q25,ln_q_q75,ln_q_rsd,ln_q_sd,ln_rain,nitrate,ph,phosphate,q_DS,q_HFPP3,q_LFPP,sand,silt,temperature,turbidity,width
SF,56.67231884,2017-09-01,A. mexicanus,46.5,46.5,26.16295090390226,2,Characidae,46.5,46.5,26.16295090390226,2,47.46601941747573,33,74.06658577332472,103,2017,9,1,244,3,2017 W35,2017 Sep,0.14125,0.1175,0.672297297375,1307.375,72.75,0.195,0.23875,7.065625000000001,0.31218827925000003,0.03625,-1.0482872047805938,0.02631730831737335,-1.974509059717314,-1.481982208203835,-1.7504730664329855,2.9126741177331223,2.139484229499641,1.1361821206358556,2.2338164141159886,1.8737810637666348,2.4018484939671314,-0.702344760291207,1.4371394692084334,10.987307109404506,17.16,8.32375,5.8075,0.5133333333333333,0.7164254247954689,0.04002517306482064,0.22935779825,0.3542872558333333,27.425,80.42145093194522,3.65125
SF,56.67231884,2017-09-01,G. affinis,22.6,23,5.727128425310541,5,Poeciliidae,32.8,31,8.621155625803556,75,47.46601941747573,33,74.06658577332472,103,2017,9,1,244,3,2017 W35,2017 Sep,0.14125,0.1175,0.672297297375,1307.375,72.75,0.195,0.23875,7.065625000000001,0.31218827925000003,0.03625,-1.0482872047805938,0.02631730831737335,-1.974509059717314,-1.481982208203835,-1.7504730664329855,2.9126741177331223,2.139484229499641,1.1361821206358556,2.2338164141159886,1.8737810637666348,2.4018484939671314,-0.702344760291207,1.4371394692084334,10.987307109404506,17.16,8.32375,5.8075,0.5133333333333333,0.7164254247954689,0.04002517306482064,0.22935779825,0.3542872558333333,27.425,80.42145093194522,3.65125
SF,56.67231884,2017-09-01,H. cyanoguttatus,47.10526315789474,38,24.390104406960955,19,Cichlidae,47.10526315789474,38,24.390104406960955,19,47.46601941747573,33,74.06658577332472,103,2017,9,1,244,3,2017 W35,2017 Sep,0.14125,0.1175,0.672297297375,1307.375,72.75,0.195,0.23875,7.065625000000001,0.31218827925000003,0.03625,-1.0482872047805938,0.02631730831737335,-1.974509059717314,-1.481982208203835,-1.7504730664329855,2.9126741177331223,2.139484229499641,1.1361821206358556,2.2338164141159886,1.8737810637666348,2.4018484939671314,-0.702344760291207,1.4371394692084334,10.987307109404506,17.16,8.32375,5.8075,0.5133333333333333,0.7164254247954689,0.04002517306482064,0.22935779825,0.3542872558333333,27.425,80.42145093194522,3.65125
SF,56.67231884,2017-09-01,L. macrochirus,80.66666666666667,75,9.814954576223638,3,Centrarchidae,65.4,75,36.12893577176056,5,47.46601941747573,33,74.06658577332472,103,2017,9,1,244,3,2017 W35,2017 Sep,0.14125,0.1175,0.672297297375,1307.375,72.75,0.195,0.23875,7.065625000000001,0.31218827925000003,0.03625,-1.0482872047805938,0.02631730831737335,-1.974509059717314,-1.481982208203835,-1.7504730664329855,2.9126741177331223,2.139484229499641,1.1361821206358556,2.2338164141159886,1.8737810637666348,2.4018484939671314,-0.702344760291207,1.4371394692084334,10.987307109404506,17.16,8.32375,5.8075,0.5133333333333333,0.7164254247954689,0.04002517306482064,0.22935779825,0.3542872558333333,27.425,80.42145093194522,3.65125
SF,56.67231884,2017-09-01,L. megalotis,42.5,42.5,57.27564927611035,2,Centrarchidae,65.4,75,36.12893577176056,5,47.46601941747573,33,74.06658577332472,103,2017,9,1,244,3,2017 W35,2017 Sep,0.14125,0.1175,0.672297297375,1307.375,72.75,0.195,0.23875,7.065625000000001,0.31218827925000003,0.03625,-1.0482872047805938,0.02631730831737335,-1.974509059717314,-1.481982208203835,-1.7504730664329855,2.9126741177331223,2.139484229499641,1.1361821206358556,2.2338164141159886,1.8737810637666348,2.4018484939671314,-0.702344760291207,1.4371394692084334,10.987307109404506,17.16,8.32375,5.8075,0.5133333333333333,0.7164254247954689,0.04002517306482064,0.22935779825,0.3542872558333333,27.425,80.42145093194522,3.65125
SF,56.67231884,2017-09-01,L. oculatus,557,557,21.213203435596427,2,Lepisosteidae,557,557,21.213203435596427,2,47.46601941747573,33,74.06658577332472,103,2017,9,1,244,3,2017 W35,2017 Sep,0.14125,0.1175,0.672297297375,1307.375,72.75,0.195,0.23875,7.065625000000001,0.31218827925000003,0.03625,-1.0482872047805938,0.02631730831737335,-1.974509059717314,-1.481982208203835,-1.7504730664329855,2.9126741177331223,2.139484229499641,1.1361821206358556,2.2338164141159886,1.8737810637666348,2.4018484939671314,-0.702344760291207,1.4371394692084334,10.987307109404506,17.16,8.32375,5.8075,0.5133333333333333,0.7164254247954689,0.04002517306482064,0.22935779825,0.3542872558333333,27.425,80.42145093194522,3.65125
SF,56.67231884,2017-09-01,P. latipinna,33.52857142857143,32,8.350512313662026,70,Poeciliidae,32.8,31,8.621155625803556,75,47.46601941747573,33,74.06658577332472,103,2017,9,1,244,3,2017 W35,2017 Sep,0.14125,0.1175,0.672297297375,1307.375,72.75,0.195,0.23875,7.065625000000001,0.31218827925000003,0.03625,-1.0482872047805938,0.02631730831737335,-1.974509059717314,-1.481982208203835,-1.7504730664329855,2.9126741177331223,2.139484229499641,1.1361821206358556,2.2338164141159886,1.8737810637666348,2.4018484939671314,-0.702344760291207,1.4371394692084334,10.987307109404506,17.16,8.32375,5.8075,0.5133333333333333,0.7164254247954689,0.04002517306482064,0.22935779825,0.3542872558333333,27.425,80.42145093194522,3.65125
SF,56.67231884,2017-11-01,A. mexicanus,53.166666666666664,55,2.857738033247041,6,Characidae,53.166666666666664,55,2.857738033247041,6,36.06380857427717,36,8.779053064302243,1003,2017,11,1,305,4,2017 W44,2017 Nov,0.125,0.29625,0.560810811,1329.5,54.2,0.16999999999999998,0.6025,7.3575,0.3375,0.0675,-1.311927529499527,-0.4922722158702429,-3.06140422469767,-2.17015562885568,-2.1894277571547005,4.006145006900813,3.2269232175696247,2.56692824432658,3.2808950526689156,3.069020188123816,3.46124006948196,-1.073922039377872,2.153001178191753,9.78317205980443,14.72,7.2325,3.31,0.3550561797752809,0.189175582127124,0.21699181875393328,0.14166666675,0.37916666675,25.2,67.06379003555264,3.15
SF,56.67231884,2017-11-01,C. lutrensis,34.806451612903224,35,5.929695634902406,31,Leuciscidae,37.674418604651166,37,5.969415895093168,86,36.06380857427717,36,8.779053064302243,1003,2017,11,1,305,4,2017 W44,2017 Nov,0.125,0.29625,0.560810811,1329.5,54.2,0.16999999999999998,0.6025,7.3575,0.3375,0.0675,-1.311927529499527,-0.4922722158702429,-3.06140422469767,-2.17015562885568,-2.1894277571547005,4.006145006900813,3.2269232175696247,2.56692824432658,3.2808950526689156,3.069020188123816,3.46124006948196,-1.073922039377872,2.153001178191753,9.78317205980443,14.72,7.2325,3.31,0.3550561797752809,0.189175582127124,0.21699181875393328,0.14166666675,0.37916666675,25.2,67.06379003555264,3.15
SF,56.67231884,2017-11-01,C. variegatus,20.5,20.5,19.091883092036785,2,Cyprinodontidae,20.5,20.5,19.091883092036785,2,36.06380857427717,36,8.779053064302243,1003,2017,11,1,305,4,2017 W44,2017 Nov,0.125,0.29625,0.560810811,1329.5,54.2,0.16999999999999998,0.6025,7.3575,0.3375,0.0675,-1.311927529499527,-0.4922722158702429,-3.06140422469767,-2.17015562885568,-2.1894277571547005,4.006145006900813,3.2269232175696247,2.56692824432658,3.2808950526689156,3.069020188123816,3.46124006948196,-1.073922039377872,2.153001178191753,9.78317205980443,14.72,7.2325,3.31,0.3550561797752809,0.189175582127124,0.21699181875393328,0.14166666675,0.37916666675,25.2,67.06379003555264,3.15
SF,56.67231884,2017-11-01,G. affinis,28.329479768786126,28,5.090015107792258,173,Poeciliidae,35.48584371460929,35,7.574016706978405,883,36.06380857427717,36,8.779053064302243,1003,2017,11,1,305,4,2017 W44,2017 Nov,0.125,0.29625,0.560810811,1329.5,54.2,0.16999999999999998,0.6025,7.3575,0.3375,0.0675,-1.311927529499527,-0.4922722158702429,-3.06140422469767,-2.17015562885568,-2.1894277571547005,4.006145006900813,3.2269232175696247,2.56692824432658,3.2808950526689156,3.069020188123816,3.46124006948196,-1.073922039377872,2.153001178191753,9.78317205980443,14.72,7.2325,3.31,0.3550561797752809,0.189175582127124,0.21699181875393328,0.14166666675,0.37916666675,25.2,67.06379003555264,3.15
SF,56.67231884,2017-11-01,H. cyanoguttatus,43.25,36.5,25.503095787312606,20,Cichlidae,43.25,36.5,25.503095787312606,20,36.06380857427717,36,8.779053064302243,1003,2017,11,1,305,4,2017 W44,2017 Nov,0.125,0.29625,0.560810811,1329.5,54.2,0.16999999999999998,0.6025,7.3575,0.3375,0.0675,-1.311927529499527,-0.4922722158702429,-3.06140422469767,-2.17015562885568,-2.1894277571547005,4.006145006900813,3.2269232175696247,2.56692824432658,3.2808950526689156,3.069020188123816,3.46124006948196,-1.073922039377872,2.153001178191753,9.78317205980443,14.72,7.2325,3.31,0.3550561797752809,0.189175582127124,0.21699181875393328,0.14166666675,0.37916666675,25.2,67.06379003555264,3.15
SF,56.67231884,2017-11-01,L. macrochirus,62.166666666666664,61.5,24.326254678159287,6,Centrarchidae,62.166666666666664,61.5,24.326254678159287,6,36.06380857427717,36,8.779053064302243,1003,2017,11,1,305,4,2017 W44,2017 Nov,0.125,0.29625,0.560810811,1329.5,54.2,0.16999999999999998,0.6025,7.3575,0.3375,0.0675,-1.311927529499527,-0.4922722158702429,-3.06140422469767,-2.17015562885568,-2.1894277571547005,4.006145006900813,3.2269232175696247,2.56692824432658,3.2808950526689156,3.069020188123816,3.46124006948196,-1.073922039377872,2.153001178191753,9.78317205980443,14.72,7.2325,3.31,0.3550561797752809,0.189175582127124,0.21699181875393328,0.14166666675,0.37916666675,25.2,67.06379003555264,3.15
SF,56.67231884,2017-11-01,P. latipinna,37.22957746478873,37,7.038237180848476,710,Poeciliidae,35.48584371460929,35,7.574016706978405,883,36.06380857427717,36,8.779053064302243,1003,2017,11,1,305,4,2017 W44,2017 Nov,0.125,0.29625,0.560810811,1329.5,54.2,0.16999999999999998,0.6025,7.3575,0.3375,0.0675,-1.311927529499527,-0.4922722158702429,-3.06140422469767,-2.17015562885568,-2.1894277571547005,4.006145006900813,3.2269232175696247,2.56692824432658,3.2808950526689156,3.069020188123816,3.46124006948196,-1.073922039377872,2.153001178191753,9.78317205980443,14.72,7.2325,3.31,0.3550561797752809,0.189175582127124,0.21699181875393328,0.14166666675,0.37916666675,25.2,67.06379003555264,3.15
