site_code,collection_period,richness,shannon,simpson
AR,2017-09-01,7,4.590101599274199,3.950246036085292
AR,2017-11-01,10,4.164012657577724,2.8208190640699113
AR,2017-12-01,6,3.6413715635166914,2.7454406798126163
AR,2018-02-01,5,3.7907526707529486,3.2277292935945985
AR,2018-04-01,4,2.9074747689189198,2.6094674556213016
AR,2018-05-01,6,4.240092863847194,3.145480127606816
AR,2018-06-01,9,2.5458781895203932,2.1752805082106152
AR,2018-07-01,4,2.5450014001892645,1.9184652278177459
AR,2018-08-01,4,2.9458102463676368,2.5078267200582456
AR,2018-09-01,11,1.4553152506760734,1.153961330709878
AR,2019-03-01,10,6.33673490850124,5.46545549072844
AR,2019-09-01,8,4.374206964566502,3.5906342591477367
AR,2020-01-01,7,5.326578613836808,4.704407109812515
AR,2020-06-01,10,5.651383269138509,4.685614987865076
AR,2020-10-01,10,5.85978475239379,4.7280861877662055
AR,2020-11-01,9,4.409804751846149,3.576402321083172
EM,2017-10-01,11,2.719368965441295,1.9148092199968012
EM,2017-11-01,15,6.380415853028938,4.746613634378895
EM,2017-12-01,15,5.652074848729449,4.253738168183273
EM,2018-02-01,12,4.090081450855206,3.022229508938162
EM,2018-03-01,12,2.3245682073332476,1.6135595949770547
EM,2018-04-01,7,5.020430401246711,4.29500580720093
EM,2018-05-01,11,2.1852393492497018,1.5920693678157571
EM,2018-06-01,7,1.471514684815448,1.1886968295556455
EM,2018-07-01,6,1.7669387532981753,1.4955936134805947
EM,2018-09-01,9,1.3542832440026982,1.1180517951698596
EM,2019-03-01,9,3.7230279622013716,2.5993034103140777
EM,2019-10-01,9,3.9594203402889576,2.964705882352941
EM,2020-01-01,8,2.5494313339989905,1.7413772046352924
EM,2020-06-01,7,3.009981379411838,2.3354555723443897
EM,2020-09-01,9,5.834079555255587,4.798819816110883
EM,2020-11-01,12,3.6989315946478425,3.1657762881337566
GC,2017-10-01,5,3.7946772267502733,3.369426751592356
GC,2017-11-01,11,3.4059451771354974,2.1620382852520894
GC,2017-12-01,14,3.3592018018061376,2.141710228546226
GC,2018-02-01,13,2.559136421635293,1.5990351322727585
GC,2018-04-01,9,6.166060128043501,5.2050174447582656
GC,2018-05-01,9,1.7877011445778443,1.2818525374447218
GC,2018-06-01,9,4.014151459477567,2.9294344993818244
GC,2018-07-01,3,2.1551441733365113,1.9310344827586203
GC,2018-08-01,11,7.830723797533471,6.384487278843141
GC,2018-11-01,8,5.043066802464707,4.242049469964664
GC,2019-03-01,8,4.521381579770422,3.630974434975917
GC,2019-10-01,13,5.475318013223918,4.538762110356411
GC,2020-01-01,7,5.019033899620526,4.468965517241379
GC,2020-06-01,9,2.995222486856855,2.0595545949284033
GC,2020-09-01,11,5.092512704166428,3.9047932358935133
GC,2020-11-01,12,2.509848910238625,1.5703175371160865
MR,2017-10-01,2,1.2109971146588063,1.0997506234413965
MR,2017-11-01,8,4.952696665443463,4.069767441860465
MR,2017-12-01,13,8.379694551653198,7.329467737139459
MR,2018-02-01,14,3.755932202054045,2.2020234643225747
MR,2018-03-01,9,4.356682391135785,2.996224040276904
