site_code,collection_period,richness,shannon,simpson
AR,2017-03-01,5,2.783336088555069,2.0015161086544535
PD,2017-03-01,6,5.6207699929783175,5.316582914572864
SF,2017-03-01,3,1.5751882446720817,1.2856509669442693
EM,2017-04-01,9,5.339440284436033,4.270803512646195
GC,2017-04-01,7,4.265635031701723,3.5410074403489262
MR,2017-04-01,6,4.698075632586365,3.7116526085598247
PL,2017-04-01,9,3.851627503590106,2.440324461825071
TR,2017-04-01,2,1.8898815748423097,1.7999999999999998
WM,2017-04-01,9,5.264196501082212,4.213405881252608
AR,2017-09-01,7,4.723348664840922,3.8691460055096423
SF,2017-09-01,7,2.792070070360838,2.146484245071734
EM,2017-10-01,11,5.313999140898175,3.963095653276687
GC,2017-10-01,5,3.7419255950585737,3.013642564802183
MR,2017-10-01,2,1.1536147967103554,1.0668396786394634
PD,2017-10-01,9,6.916326579783539,5.526761264625342
PL,2017-10-01,8,4.227347078881329,3.375612105643414
TR,2017-10-01,4,1.3053758850853832,1.11797317632741
WM,2017-10-01,6,3.5664748552401004,2.44529262086514
AR,2017-11-01,10,4.951401969462621,3.7970575580048327
EM,2017-11-01,15,4.950563511205753,3.418064140686543
GC,2017-11-01,11,3.780823921826887,2.8766526504446133
MR,2017-11-01,8,2.6282763333710446,2.1432141964508875
PD,2017-11-01,8,6.160805598522855,5.2660125374761515
PL,2017-11-01,13,4.847372784661394,3.5625830067053226
SF,2017-11-01,8,3.393269085977416,2.7902215599414295
TR,2017-11-01,8,2.5892359533121128,1.9124404671621418
WM,2017-11-01,8,3.962850457932026,2.8675699300699296
AR,2017-12-01,6,4.0092332206699846,3.2419676126643395
EM,2017-12-01,15,3.4839460194244776,2.4070648850958456
GC,2017-12-01,13,6.062308282774622,3.732549483495303
MR,2017-12-01,13,5.302379723794256,4.359850681739094
PD,2017-12-01,10,7.381483097776031,6.438708222961168
PL,2017-12-01,8,4.282093894122826,3.5790204193915445
SF,2017-12-01,6,2.197360038750746,1.5591214190448845
TR,2017-12-01,3,2.1457768896244955,1.7518021179507732
WM,2017-12-01,16,6.510898486712219,4.843400264675609
