lowest_taxon,site_code,prob_present
A. melas,AR,0.058823529411764705
A. melas,EM,0
A. melas,GC,0
A. melas,MR,0
A. melas,PD,0.375
A. melas,PL,0.11764705882352941
A. melas,SF,0.0625
A. melas,TR,0
A. melas,WM,0.06666666666666667
A. mexicanus,AR,0
A. mexicanus,EM,0
A. mexicanus,GC,0
A. mexicanus,MR,0
A. mexicanus,PD,0
A. mexicanus,PL,0
A. mexicanus,SF,0.5625
A. mexicanus,TR,0.5714285714285714
A. mexicanus,WM,0
A. mitchilli,AR,0
A. mitchilli,EM,0
A. mitchilli,GC,0
A. mitchilli,MR,0.26666666666666666
A. mitchilli,PD,0
A. mitchilli,PL,0
A. mitchilli,SF,0
A. mitchilli,TR,0
A. mitchilli,WM,0
A. monticola,AR,0
A. monticola,EM,0
A. monticola,GC,0
A. monticola,MR,0.13333333333333333
A. monticola,PD,0
A. monticola,PL,0.29411764705882354
A. monticola,SF,0
A. monticola,TR,0
A. monticola,WM,0
A. natalis,AR,0.1764705882352941
A. natalis,EM,0.125
A. natalis,GC,0.11764705882352941
A. natalis,MR,0.06666666666666667
A. natalis,PD,0.125
A. natalis,PL,0.7647058823529411
A. natalis,SF,0
A. natalis,TR,0
A. natalis,WM,0.2
A. rostrata,AR,0.1764705882352941
A. rostrata,EM,0
A. rostrata,GC,0.058823529411764705
A. rostrata,MR,0.2
A. rostrata,PD,0
A. rostrata,PL,0.1764705882352941
A. rostrata,SF,0
A. rostrata,TR,0
A. rostrata,WM,0
A. sayanus,AR,0
A. sayanus,EM,0.0625
A. sayanus,GC,0
A. sayanus,MR,0
A. sayanus,PD,0
A. sayanus,PL,0
A. sayanus,SF,0
A. sayanus,TR,0
A. sayanus,WM,0.4666666666666667
A. xenica,AR,0
A. xenica,EM,0
A. xenica,GC,0
A. xenica,MR,0.13333333333333333
A. xenica,PD,0
A. xenica,PL,0
A. xenica,SF,0
A. xenica,TR,0
A. xenica,WM,0
B. patronus,AR,0
B. patronus,EM,0
B. patronus,GC,0
B. patronus,MR,0.13333333333333333
B. patronus,PD,0
B. patronus,PL,0
B. patronus,SF,0
B. patronus,TR,0
B. patronus,WM,0
C. carpio,AR,0
C. carpio,EM,0.0625
C. carpio,GC,0
C. carpio,MR,0
C. carpio,PD,0.25
C. carpio,PL,0
C. carpio,SF,0.0625
C. carpio,TR,0
C. carpio,WM,0
C. lutrensis,AR,0.9411764705882353
C. lutrensis,EM,0.4375
C. lutrensis,GC,0
C. lutrensis,MR,0.06666666666666667
C. lutrensis,PD,0
C. lutrensis,PL,1
C. lutrensis,SF,0.5
C. lutrensis,TR,0
C. lutrensis,WM,0.5333333333333333
C. variegatus,AR,0
C. variegatus,EM,0
C. variegatus,GC,0
C. variegatus,MR,0.3333333333333333
C. variegatus,PD,0
C. variegatus,PL,0
C. variegatus,SF,0.1875
C. variegatus,TR,0.9285714285714285
C. variegatus,WM,0
C. venusta,AR,0
C. venusta,EM,0.25
C. venusta,GC,0.058823529411764705
C. venusta,MR,0
C. venusta,PD,0
C. venusta,PL,0
C. venusta,SF,0
C. venusta,TR,0
C. venusta,WM,0.4666666666666667
D. cepedianum,AR,0
D. cepedianum,EM,0.5
