predictor,PC1_r,PC2_r
ln_wk4_med,0.9249214036994352,0.2099097696920318
sqrt_q_med_yr,0.8566843259998174,0.1295925182465848
ln_lf_min,0.8503321196475713,0.4274029464858428
ln_wk4_min,0.8503321196475713,0.4274029464858428
sqrt_q_q25_yr,0.8287135018980749,0.29328810941042627
sqrt_wk4_med_30mu,0.8086729283942552,-0.14175864252258533
sqrt_wk4_75q_30mu,0.7948601305177162,-0.21366310548327397
ln_wk4_max,0.7829250881431941,-0.2533108506272074
sqrt_lf_drought_duration,-0.7691220325659243,-0.31805854398462474
ln_wk4_iqr,0.618247303345697,-0.36524656887691004
ln_flood_duration,0.5185395449653898,-0.11329203501526175
ln_lf_days,-0.5146086838904528,-0.10885619822949115
width,0.4445826148283048,-0.4976642062225791
ln_wk4_max_to_wk4_med_30mu,0.4279635950376897,-0.2267624495282745
sqrt_wk4_min_to_wk4_med_30mu,0.39525947416616436,0.64919332463491
sand,0.3942148190493452,-0.3951013934565777
silt,-0.3924548487015442,-0.11024549039220267
sqrt_bluegreen_cyano,-0.3313372950323235,0.49173664276931844
depth_mx,0.3058871217814489,-0.48878612880820027
sqrt_green_algae,-0.27643954537221316,0.11528953790246815
wk4_min_to_wk4_med,-0.2638465164300041,0.3976257755914536
sqrt_conductivity,-0.24258985214134032,0.12728187410766173
ln_wk4_max_to_annual_med,0.23082442365808892,-0.42572776486341607
sqrt_rain,0.21246711667598783,-0.3893077821271673
canopy,0.2015417204524759,0.0812605441437597
d_oxygen,0.1700584354568977,0.32377706569818115
sqrt_ammonia,-0.1136747564481033,-0.005525812040515542
ln_wk4_max_to_wk4_med,0.10988429995498687,-0.5835679419852638
ln_nitrate,0.1063122224380262,0.5807937419929684
ln_wk4_min_to_annual_med,0.09893894002680324,0.441504633784884
ln_turbidity,0.09160043485236125,-0.17098800711424758
ln_flood_total_days,0.07719028990462168,-0.2126388142486114
sqrt_gravel,-0.06172067754266254,0.5139937697418607
sqrt_diatoms,-0.045745266807524436,0.5618273392436309
doc,-0.03836271620566518,-0.37606823229328973
sqrt_phosphate,-0.027579676865565356,0.4570121398450366
ph,-0.012337904764050235,-0.08070066820816403
temperature,-0.0013757716394433937,-0.14917523533028687
