site_code,year_qtr,ammonia,bluegreen_cyano,canopy,conductivity,d_oxygen,depth_mx,diatoms,doc,flood_duration,flood_total_days,gravel,green_algae,lf_days,lf_drought_duration,lf_min,nitrate,ph,phosphate,q_med_yr,q_q25_yr,rain,sand,silt,temperature,turbidity,width,wk4_75q_30mu,wk4_iqr,wk4_max,wk4_max_30mu,wk4_max_to_annual_med,wk4_max_to_wk4_med,wk4_max_to_wk4_med_30mu,wk4_med,wk4_med_30mu,wk4_min,wk4_min_to_annual_med,wk4_min_to_wk4_med,wk4_min_to_wk4_med_30mu
AR,2017 Q1,0.105,NA,0.4475675675,710.125,82.8,0.29,NA,NA,0,0,0.45,NA,0,1,83.251539,0.6379999997686275,7.0775,4.128,98.8258065,71.924799,40228.27642555824,0.175,0.0375,19.05,700.875,3.475,294.9268436008064,34.82972550000001,297.32692499999996,4827.803697774193,3.0085959885386817,2.66836086404066,1.6405009701887456,111.42680475,181.2415417016129,83.251539,0.8424068767908309,0.747141041931385,0.4593402716528488
PD,2017 Q1,0.075,NA,0.128378378375,736.75,77.65,0.28625,NA,NA,2,8,0.175,NA,19,13,0.2831685,0.0230000000012187,7.1825,0.298,0.8495054999999999,0.2831685,87251.85704294394,0.575,0,18.875,701.775,3.755,18.25762614285714,29.661900375,2214.37767,-Inf,2606.666666666667,1203.076923076923,270.32098765432096,1.84059525,8.191660178571428,0.2831685,0.33333333333333337,0.15384615384615383,0.0345679012345679
SF,2017 Q1,0.298,NA,NA,979,68.5,0.22625,NA,NA,0,0,0.2,NA,4,1,3.3980219999999997,1.8000000001761858,6.4275,4.275,11.0435715,6.229706999999999,32214.581514358368,0.2625,0.4,23.275,696.15,2.7925,73.56313103571428,4.672280249999999,11.893077,381.6976537857143,1.0769230769230769,1.5849056603773584,0.18740040369701477,7.50396525,63.46345453571429,3.3980219999999997,0.30769230769230765,0.4528301886792453,0.05354297248486136
GC,2017 Q2,0.098,1.345,0.5063513515,517.75,64.69999999999999,0.375,1.1266666666666667,NA,2,2,0.2125,0.41666666666666663,0,1,78.15450599999998,0.0480000000035638,7.135,0.408,74.190147,22.087143,109696.58759397556,0.6875,0.1,22.575000000000003,697.675,6.800000000000001,1499.4137453709675,1117.6660695,28203.5826,16803.739454661292,380.1526717557253,82.65560165975104,88.80452133396611,341.2180425,317.59174168548384,78.15450599999998,1.0534351145038163,0.2290456431535269,0.24608481815436384
MR,2017 Q2,0.17,NA,0.5855855853333334,1291,62.45,0.4975,NA,NA,1,2,0.215416666625,NA,0,1,146.114946,0.03999999999472803,7.215,0.315,144.6991035,56.350531499999995,71210.08036371105,0.247916666625,0.477916666625,23.6,688.125,7.716666666666667,2600.471068899193,199.27983187499996,4474.0623,33429.42072962903,30.919765166340504,16.263510036026766,5.687214797440869,275.09819774999994,786.6877653387097,146.114946,1.009784735812133,0.5311374163664437,0.185734356675917
PL,2017 Q2,0.088,NA,0.21290540525,1135.5,103.65,0.3325,NA,NA,2,5,0.05,NA,0,1,36.5287365,0.4400000000307253,7.3125,0.298,75.03965249999999,43.3247805,118866.7024909448,0.2,0.525,24.625,676.75,3.725,824.9063783709677,1007.65510725,39077.253,21825.714533225804,520.7547169811321,186.1092380310182,423.8581194887546,209.96944275,92.19418291935484,36.5287365,0.4867924528301888,0.1739716790289953,0.3962151986525315
TR,2017 Q2,0.153,NA,0.34574324325,8923,120.225,0.24625,NA,NA,1,4,0.371875,NA,10,10,1.4158425,0.06999999999529445,7.987500000000001,0.125,3.964359,0.566337,117182.17496488865,0.371875,0.13125,22.525,702.15,4.0375,35.94824107499999,31.57328775000001,900.47583,427.018098,227.1428571428571,66.25,52.216748768472904,13.592088,17.24496165,1.4158425,0.3571428571428571,0.10416666666666666,0.08210180623973727
AR,2017 Q3,0.10625,0.8362499999999999,0.5760135135625,1041.1875,67.96875,0.20531249999999998,0.5694375,6.19125,1,1,0.30937499999999996,0.1775,0,1,39.64359,2.93458125,7.9593750000000005,1.508125,98.8258065,71.924799,99752.78383702759,0.40625,0.043750000000000004,28.14375,50.842725660210064,3.0845833333333337,322.8189408508065,47.92626862499998,2681.6056949999997,10798.457192612905,27.134670487106018,23.46964064436183,16.762497501927083,114.25848975,159.9765007983871,39.64359,0.4011461318051576,0.34696406443618344,0.2478088331858281
EM,2017 Q3,0.06375,0.24875,0.0135135135,489.55,85.5625,0.58875,0.31375000000000003,4.561458333333333,NA,NA,0.29375,0.06625,NA,NA,NA,0.1193575,7.8475,0.11875,NA,NA,379655.2580466212,0.30625,0.4,28.4625,190.04791640781949,5.2212499999999995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GC,2017 Q3,0.0825,0.78625,0.679054054125,510.575,75.3625,0.28500000000000003,0.7975000000000001,7.9825,NA,NA,0.10125,0.05625,NA,NA,NA,0.30371250000000005,7.56375,0.53375,NA,NA,188383.29288346434,0.74875,0.15,26.2625,67.01796395089741,6.275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
