outcome,predictor,corr,AIC,lme_anova_p,lme_anova_sig,shapiro_p,normal_res,lms_estimate,lms_r2,lms_AIC,lms_p
sqrt_centroid_dist,q_min,autoregression,-21.5162284634078,0.5109344319396796,ns,0.16446167861790278,yes,8.277516530812906e-13,0.05672917302315838,-396.6487335921211,0.5371425612772736
ln_density,q_min,autoregression,420.4991384490755,0.44269047436667786,ns,0.26635288913106153,yes,0.0010821201976847189,0.027617368293156107,-12.054432821256626,0.6691462341801018
ln_biomass,q_min,autoregression,508.8394572621975,0.22270591462711598,ns,0.016907310431400868,no,1.3726075785467435e-10,0.24588051758357116,-319.8653291106001,0.17460408506633612
shannon,q_min,autoregression,529.3235404287186,0.3085772554926014,ns,0.01445126655356715,no,1.1537223359835879e-10,0.05080727949465237,-306.7304624997929,0.5598093680695124
richness,q_min,autoregression,693.6594943763364,0.09646135546673229,ns,0.4006664180746974,yes,2.282755062208164e-12,0.023936152165553903,-370.31542157423127,0.6910402893555041
sqrt_centroid_dist,q_max,autoregression,-21.341470013680123,0.2792202779626165,ns,0.1754109820064418,yes,-2.003782198574898e-12,0.0011274640006254772,-344.9549955655589,0.9316602452649337
ln_density,q_max,autoregression,404.9437872031131,2.109733113941914e-5,sig,0.6848696208856022,yes,5.381172296286071e-12,0.10942038886537131,-369.38316949754994,0.38458582572596395
ln_biomass,q_max,autoregression,489.74051238377984,3.510738577405803e-6,sig,0.04522565659863289,no,2.9486404563076574e-12,3.186108335119355e-4,-326.6203701995849,0.9636465976798012
shannon,q_max,autoregression,528.0013300316898,0.2803789750272725,ns,0.0045874237914177605,no,-0.0019778488215591293,0.14494293328071836,-17.277144835420547,0.31209265065760095
richness,q_max,autoregression,682.3080719393877,9.542108950668649e-4,sig,0.2857554386601324,yes,-0.0018839120318368233,0.2170848444522404,-22.581840941662744,0.20620639481105538
