site_code,collection_period,diet_simple,density
AR,2017-03-01,Invertivore,0.3645083932853717
AR,2017-03-01,Mixed,0.01151079136690647
AR,2017-09-01,Invertivore,0.20187919463087245
AR,2017-09-01,Mixed,0.06013422818791944
AR,2017-11-01,Carnivore,0.0090014064697609
AR,2017-11-01,Invertivore,0.7921237693389592
AR,2017-11-01,Mixed,0.17552742616033756
AR,2017-12-01,Invertivore,0.4990476190476191
AR,2017-12-01,Mixed,0.03428571428571428
AR,2018-02-01,Invertivore,0.5221445221445222
AR,2018-02-01,Mixed,0.02486402486402486
AR,2018-04-01,Invertivore,0.1685916919959473
AR,2018-04-01,Mixed,0.00648429584599797
AR,2018-05-01,Invertivore,0.5259259259259259
AR,2018-05-01,Mixed,0.03703703703703703
AR,2018-06-01,Carnivore,0.00958083832335329
AR,2018-06-01,Invertivore,0.21556886227544908
AR,2018-06-01,Mixed,0.03832335329341316
AR,2018-07-01,Invertivore,0.07328244274809159
AR,2018-07-01,Mixed,0.00814249363867684
AR,2018-08-01,Invertivore,0.02191780821917808
AR,2018-08-01,Mixed,0.03287671232876712
AR,2018-09-01,Carnivore,0.01246105919003115
AR,2018-09-01,Invertivore,0.37383177570093457
AR,2018-09-01,Mixed,0.12045690550363446
AR,2019-03-01,Invertivore,0.33652822151224704
AR,2019-03-01,Mixed,0.18743343982960595
AR,2019-09-01,Invertivore,0.12639532886828095
AR,2019-09-01,Mixed,0.04396359264983682
AR,2020-01-01,Invertivore,0.10179139460907413
AR,2020-01-01,Mixed,0.03482337183994641
AR,2020-06-01,Carnivore,0.00481882715770515
AR,2020-06-01,Invertivore,0.5156145058744515
AR,2020-06-01,Mixed,0.22889428999099481
AR,2020-10-01,Invertivore,0.17601232086246038
AR,2020-10-01,Mixed,0.12400868060764253
AR,2020-11-01,Invertivore,0.8441578668660249
AR,2020-11-01,Mixed,0.23362302588543124
EM,2017-10-01,Detritivore,0.00730328920196857
EM,2017-10-01,Herbivore,0.02434429733989524
EM,2017-10-01,Invertivore,0.3578611708964601
EM,2017-10-01,Mixed,0.10468047856154954
EM,2017-11-01,Carnivore,0.00589318600368324
EM,2017-11-01,Herbivore,0.05009208103130755
EM,2017-11-01,Invertivore,1.1108655616942908
EM,2017-11-01,Mixed,0.23867403314917127
EM,2017-12-01,Detritivore,0.02095154954168485
EM,2017-12-01,Herbivore,0.02095154954168485
EM,2017-12-01,Invertivore,1.743634511857995
EM,2017-12-01,Mixed,0.1699403462825549
EM,2018-02-01,Carnivore,0.00726282342260553
EM,2018-02-01,Herbivore,0.01452564684521107
EM,2018-02-01,Invertivore,1.2952035103646542
EM,2018-02-01,Mixed,0.2130428203964291
EM,2018-03-01,Carnivore,0.00964090475204547
EM,2018-03-01,Herbivore,0.00482045237602273
EM,2018-03-01,Invertivore,1.0339870346568767
EM,2018-03-01,Mixed,0.0650761070763069
EM,2018-04-01,Detritivore,0.00375586854460093
EM,2018-04-01,Invertivore,0.40187793427230045
EM,2018-04-01,Mixed,0.11455399061032864
EM,2018-05-01,Carnivore,0.01628498727735369
EM,2018-05-01,Herbivore,0.01357082273112807
EM,2018-05-01,Invertivore,0.5754028837998304
EM,2018-05-01,Mixed,0.08413910093299405
EM,2018-06-01,Carnivore,0.01149425287356321
EM,2018-06-01,Herbivore,0.02758620689655172
EM,2018-06-01,Invertivore,0.05977011494252872
EM,2018-06-01,Mixed,0.00919540229885056
EM,2018-07-01,Carnivore,0.00515297906602254
EM,2018-07-01,Detritivore,0.00515297906602254
EM,2018-07-01,Invertivore,0.0180354267310789
EM,2018-07-01,Mixed,0.01030595813204508
EM,2018-09-01,Carnivore,0.01318174328554951
EM,2018-09-01,Herbivore,0.0052726973142198
EM,2018-09-01,Invertivore,0.08699950568462678
EM,2018-09-01,Mixed,0.0158180919426594
EM,2019-03-01,Invertivore,0.11851851851851852
EM,2019-03-01,Mixed,0.02962962962962961
EM,2019-10-01,Invertivore,0.6231023102310231
EM,2019-10-01,Mixed,0.07128712871287128
EM,2020-01-01,Carnivore,0.00554688854220835
EM,2020-01-01,Invertivore,0.28843820419483446
EM,2020-01-01,Mixed,0.09152366094643784
EM,2020-06-01,Carnivore,0.00655882859321325
EM,2020-06-01,Invertivore,0.12243146707331404
EM,2020-06-01,Mixed,0.017490209581902
EM,2020-09-01,Carnivore,0.00468619344899444
EM,2020-09-01,Invertivore,0.11012554605136946
EM,2020-09-01,Mixed,0.05154812793893888
EM,2020-11-01,Carnivore,0.01967674792548661
EM,2020-11-01,Detritivore,0.0098383739627433
EM,2020-11-01,Invertivore,0.4058329259631615
EM,2020-11-01,Mixed,0.051651463304402345
GC,2017-04-01,Invertivore,0.3294117647058823
GC,2017-04-01,Mixed,0.0352941176470588
GC,2017-10-01,Detritivore,0.02774076480681743
GC,2017-10-01,Invertivore,0.019071775804686962
GC,2017-10-01,Mixed,0.00693519120170435
GC,2017-11-01,Detritivore,0.01011058451816745
GC,2017-11-01,Invertivore,0.6167456556082148
GC,2017-11-01,Mixed,0.02780410742496048
GC,2017-12-01,Carnivore,0.00974124809741248
GC,2017-12-01,Detritivore,0.01948249619482496
GC,2017-12-01,Invertivore,0.5114155251141552
GC,2017-12-01,Mixed,0.07549467275494672
GC,2018-02-01,Carnivore,0.01033091202582727
GC,2018-02-01,Detritivore,0.03874092009685229
GC,2018-02-01,Invertivore,0.4519774011299434
GC,2018-02-01,Mixed,0.033575464083938605
GC,2018-04-01,Detritivore,0.00661157024793388
GC,2018-04-01,Invertivore,0.39889807162534435
GC,2018-04-01,Mixed,0.024242424242424218
GC,2018-05-01,Carnivore,0.01576354679802955
GC,2018-05-01,Detritivore,0.01839080459770115
GC,2018-05-01,Invertivore,0.35205254515599343
GC,2018-05-01,Mixed,0.0288998357963875
GC,2018-06-01,Carnivore,0.00597014925373134
GC,2018-06-01,Invertivore,0.25970149253731345
GC,2018-06-01,Mixed,0.08059701492537312
GC,2018-07-01,Invertivore,0.01882352941176469
GC,2018-08-01,Detritivore,0.16085790884718498
GC,2018-08-01,Invertivore,1.093833780160858
GC,2018-08-01,Mixed,0.34316353887399464
GC,2018-11-01,Invertivore,0.21904557000870178
GC,2018-11-01,Mixed,0.04001794067466667
GC,2019-03-01,Invertivore,0.05566830965497243
GC,2019-03-01,Mixed,0.00927805160916207
GC,2019-10-01,Invertivore,0.60237531752393
GC,2019-10-01,Mixed,0.09477933317684212
GC,2020-01-01,Invertivore,0.11672955974842765
GC,2020-01-01,Mixed,0.010062893081761
GC,2020-06-01,Detritivore,0.00391955121138629
GC,2020-06-01,Invertivore,0.225374194654712
GC,2020-06-01,Mixed,0.08427035104480536
GC,2020-09-01,Detritivore,0.00421241480785965
GC,2020-09-01,Invertivore,0.36226767347592986
GC,2020-09-01,Mixed,0.07792967394540351
GC,2020-11-01,Carnivore,0.01594189180437306
GC,2020-11-01,Invertivore,0.3454076557614163
GC,2020-11-01,Mixed,0.19395968361987223
MR,2017-04-01,Invertivore,0.07106157191149833
MR,2017-04-01,Mixed,0.027331373812114743
MR,2017-10-01,Invertivore,0.00879120879120879
MR,2017-10-01,Mixed,0.2695970695970696
MR,2017-11-01,Invertivore,0.6127183787561146
MR,2017-11-01,Mixed,0.37120894479385047
MR,2017-12-01,Invertivore,0.1616161616161616
MR,2017-12-01,Mixed,0.4929292929292929
MR,2018-02-01,Invertivore,0.2117510180337405
MR,2018-02-01,Mixed,1.1913903432228037
MR,2018-03-01,Invertivore,0.02676962676962677
MR,2018-03-01,Mixed,0.09060489060489055
MR,2018-04-01,Invertivore,0.04226415094339621
MR,2018-04-01,Mixed,0.04226415094339621
MR,2018-06-01,Invertivore,0.01864801864801863
MR,2018-06-01,Mixed,0.02983682983682981
MR,2018-08-01,Invertivore,0.01700318809776833
MR,2018-08-01,Mixed,0.018892431219742573
MR,2019-03-01,Invertivore,0.15283018867924528
MR,2019-03-01,Mixed,0.058490566037735815
MR,2019-10-01,Invertivore,0.01124497991967871
MR,2019-10-01,Mixed,0.01124497991967871
MR,2020-01-01,Invertivore,0.02602532822121527
MR,2020-01-01,Mixed,0.03532008830022073
MR,2020-06-01,Carnivore,0.00405726319846736
MR,2020-06-01,Invertivore,0.02637221079003789
MR,2020-06-01,Mixed,0.07911663237011364
MR,2020-09-01,Invertivore,0.03279150495074868
MR,2020-09-01,Mixed,0.10452292203051144
MR,2020-11-01,Carnivore,0.00328742242453567
MR,2020-11-01,Invertivore,0.15615256516544465
MR,2020-11-01,Mixed,0.18080823334946222
PD,2017-03-01,Invertivore,0.1278295605858855
PD,2017-03-01,Mixed,0.04971149578339991
PD,2017-10-01,Invertivore,0.09242779078844651
PD,2017-10-01,Mixed,0.05995316159250584
PD,2017-11-01,Carnivore,0.00505050505050505
PD,2017-11-01,Invertivore,0.10606060606060606
PD,2017-11-01,Mixed,0.03535353535353534
PD,2017-12-01,Invertivore,0.27125610069355255
PD,2017-12-01,Mixed,0.21645688843222877
PD,2018-02-01,Invertivore,0.1411584196394323
PD,2018-02-01,Mixed,0.07364787111622553
PD,2018-03-01,Invertivore,0.116331096196868
PD,2018-03-01,Mixed,0.05667412378821772
PD,2018-04-01,Carnivore,0.00529363110008271
