site_code,collection_period,geographic_range,density
AR,2017-03-01,Restricted,0.2647482014388489
AR,2017-03-01,Unlimited,0.11127098321342925
AR,2017-09-01,Restricted,0.1374496644295302
AR,2017-09-01,Unlimited,0.12456375838926172
AR,2017-11-01,Local,0.0180028129395218
AR,2017-11-01,Restricted,0.5490857946554148
AR,2017-11-01,Unlimited,0.40956399437412094
AR,2017-12-01,Restricted,0.2742857142857143
AR,2017-12-01,Unlimited,0.259047619047619
AR,2018-02-01,Restricted,0.30665630665630667
AR,2018-02-01,Unlimited,0.2403522403522404
AR,2018-04-01,Restricted,0.15238095238095237
AR,2018-04-01,Unlimited,0.0226950354609929
AR,2018-05-01,Restricted,0.21481481481481482
AR,2018-05-01,Unlimited,0.34814814814814815
AR,2018-06-01,Restricted,0.11017964071856286
AR,2018-06-01,Unlimited,0.15329341317365267
AR,2018-07-01,Restricted,0.02442748091603053
AR,2018-07-01,Unlimited,0.05699745547073791
AR,2018-08-01,Unlimited,0.054794520547945195
AR,2018-09-01,Restricted,0.14537902388369678
AR,2018-09-01,Unlimited,0.3613707165109034
AR,2019-03-01,Local,0.01277955271565495
AR,2019-03-01,Restricted,0.12353567625133119
AR,2019-03-01,Unlimited,0.38764643237486685
AR,2019-09-01,Local,0.0054954490812296
AR,2019-09-01,Restricted,0.08243173621844407
AR,2019-09-01,Unlimited,0.08243173621844409
AR,2020-01-01,Restricted,0.0321446509291813
AR,2020-01-01,Unlimited,0.10447011551983924
AR,2020-06-01,Restricted,0.43369444419346387
AR,2020-06-01,Unlimited,0.31563317882968756
AR,2020-10-01,Local,0.00400028001960137
AR,2020-10-01,Restricted,0.03800266018621303
AR,2020-10-01,Unlimited,0.2580180612642885
AR,2020-11-01,Restricted,0.4267513939507211
AR,2020-11-01,Unlimited,0.651029498800735
EM,2017-10-01,Local,0.04381973521181142
EM,2017-10-01,Restricted,0.0803361812216543
EM,2017-10-01,Unlimited,0.37003331956640767
EM,2017-11-01,Local,0.07366482504604051
EM,2017-11-01,Restricted,0.16500920810313074
EM,2017-11-01,Unlimited,1.1668508287292818
EM,2017-12-01,Local,0.0791502982685872
EM,2017-12-01,Restricted,0.06983849847228285
EM,2017-12-01,Unlimited,1.8064891604830495
EM,2018-02-01,Local,0.07262823422605535
EM,2018-02-01,Restricted,0.12346799818429414
EM,2018-02-01,Unlimited,1.3339385686185505
EM,2018-03-01,Local,0.01928180950409093
EM,2018-03-01,Restricted,0.06989655945232966
EM,2018-03-01,Unlimited,1.024346129904831
EM,2018-04-01,Local,0.00375586854460093
EM,2018-04-01,Restricted,0.2028169014084507
EM,2018-04-01,Unlimited,0.31361502347417836
EM,2018-05-01,Local,0.0189991518235793
EM,2018-05-01,Restricted,0.1085665818490246
EM,2018-05-01,Unlimited,0.5618320610687023
EM,2018-06-01,Local,0.032183908045977
EM,2018-06-01,Restricted,0.00459770114942528
EM,2018-06-01,Unlimited,0.07126436781609193
EM,2018-07-01,Local,0.00515297906602254
EM,2018-07-01,Restricted,0.01030595813204508
