site_code,collection_period,macrohabitat_simple,density
AR,2017-03-01,Creeks,0.11127098321342925
AR,2017-03-01,Variable,0.2647482014388489
AR,2017-09-01,Creeks,0.12456375838926172
AR,2017-09-01,LargeRivers,0.00859060402684563
AR,2017-09-01,Variable,0.12885906040268455
AR,2017-11-01,Creeks,0.39156118143459917
AR,2017-11-01,Variable,0.5850914205344585
AR,2017-12-01,Creeks,0.259047619047619
AR,2017-12-01,Variable,0.2742857142857143
AR,2018-02-01,Creeks,0.2403522403522404
AR,2018-02-01,Variable,0.30665630665630667
AR,2018-04-01,Creeks,0.0226950354609929
AR,2018-04-01,Variable,0.15238095238095237
AR,2018-05-01,Creeks,0.337037037037037
AR,2018-05-01,Variable,0.22592592592592592
AR,2018-06-01,Creeks,0.14371257485029937
AR,2018-06-01,Variable,0.11976047904191614
AR,2018-07-01,Creeks,0.05699745547073791
AR,2018-07-01,LargeRivers,0.00814249363867684
AR,2018-07-01,Variable,0.01628498727735369
AR,2018-08-01,Creeks,0.04383561643835616
AR,2018-08-01,Variable,0.01095890410958904
AR,2018-09-01,Creeks,0.3406022845275182
AR,2018-09-01,LargeRivers,0.02907580477673935
AR,2018-09-01,Variable,0.13707165109034267
AR,2019-03-01,Creeks,0.37912673056443025
AR,2019-03-01,LargeRivers,0.00851970181043663
AR,2019-03-01,Variable,0.13631522896698614
AR,2019-09-01,Creeks,0.0769362871372145
AR,2019-09-01,LargeRivers,0.0054954490812296
AR,2019-09-01,Variable,0.08792718529967368
AR,2020-01-01,Creeks,0.09911267369830903
AR,2020-01-01,Variable,0.03750209275071151
AR,2020-06-01,Creeks,0.30599552451427725
AR,2020-06-01,LargeRivers,0.00481882715770515
AR,2020-06-01,Variable,0.438513271351169
AR,2020-10-01,Creeks,0.2460172212054844
AR,2020-10-01,LargeRivers,0.00400028001960137
AR,2020-10-01,Variable,0.05000350024501714
AR,2020-11-01,Creeks,0.651029498800735
AR,2020-11-01,LargeRivers,0.01557486839236208
AR,2020-11-01,Variable,0.41117652555835904
EM,2017-10-01,Creeks,0.37003331956640767
EM,2017-10-01,LargeRivers,0.11198376776351812
EM,2017-10-01,Variable,0.012172148669947608
EM,2017-11-01,Creeks,1.1432780847145487
EM,2017-11-01,LargeRivers,0.2033149171270718
EM,2017-11-01,Variable,0.0589318600368324
EM,2017-12-01,Creeks,1.7855376109413648
EM,2017-12-01,LargeRivers,0.11639749745380473
EM,2017-12-01,Variable,0.05354284882875017
EM,2018-02-01,Creeks,1.2903616280829173
EM,2018-02-01,LargeRivers,0.1379936450295052
EM,2018-02-01,Variable,0.10167952791647751
EM,2018-03-01,Creeks,1.009884772776763
EM,2018-03-01,LargeRivers,0.05543520232426145
EM,2018-03-01,Variable,0.04820452376022734
EM,2018-04-01,Creeks,0.30798122065727696
EM,2018-04-01,LargeRivers,0.11267605633802817
EM,2018-04-01,Variable,0.09953051643192488
EM,2018-05-01,Creeks,0.5401187446988974
EM,2018-05-01,LargeRivers,0.0759966072943172
EM,2018-05-01,Variable,0.0732824427480916
EM,2018-06-01,Creeks,0.05977011494252872
EM,2018-06-01,LargeRivers,0.02758620689655172
EM,2018-06-01,Variable,0.020689655172413772
EM,2018-07-01,Creeks,0.0180354267310789
EM,2018-07-01,LargeRivers,0.01030595813204508
EM,2018-07-01,Variable,0.01030595813204508
EM,2018-09-01,Creeks,0.09227220299884659
EM,2018-09-01,LargeRivers,0.0105453946284396
EM,2018-09-01,Variable,0.01845444059976931
EM,2019-03-01,Creeks,0.13086419753086417
EM,2019-03-01,Variable,0.01728395061728394
EM,2019-10-01,Creeks,0.6495049504950495
EM,2019-10-01,LargeRivers,0.00528052805280528
EM,2019-10-01,Variable,0.0396039603960396
EM,2020-01-01,Creeks,0.3577743109724389
EM,2020-01-01,LargeRivers,0.00832033281331253
EM,2020-01-01,Variable,0.01941410989772923
EM,2020-06-01,Creeks,0.13554912425974053
