site_code,collection_period,mesohabitat_simple,density
AR,2017-03-01,Slow,0.06139088729016786
AR,2017-03-01,Swift,0.04988009592326139
AR,2017-03-01,Variable,0.2647482014388489
AR,2017-09-01,Slow,0.04295302013422817
AR,2017-09-01,Swift,0.08161073825503355
AR,2017-09-01,Variable,0.1374496644295302
AR,2017-11-01,Slow,0.32855133614627285
AR,2017-11-01,Swift,0.0990154711673699
AR,2017-11-01,Variable,0.5490857946554148
AR,2017-12-01,Slow,0.2057142857142857
AR,2017-12-01,Swift,0.05333333333333334
AR,2017-12-01,Variable,0.2742857142857143
AR,2018-02-01,Slow,0.2237762237762238
AR,2018-02-01,Swift,0.01657601657601657
AR,2018-02-01,Variable,0.30665630665630667
AR,2018-04-01,Slow,0.00972644376899696
AR,2018-04-01,Swift,0.01296859169199594
AR,2018-04-01,Variable,0.15238095238095237
AR,2018-05-01,Slow,0.2518518518518518
AR,2018-05-01,Swift,0.0962962962962963
AR,2018-05-01,Variable,0.21481481481481482
AR,2018-06-01,Slow,0.12455089820359279
AR,2018-06-01,Swift,0.03832335329341317
AR,2018-06-01,Variable,0.10059880239520957
AR,2018-07-01,Slow,0.05699745547073791
AR,2018-07-01,Variable,0.02442748091603053
AR,2018-08-01,Slow,0.054794520547945195
AR,2018-09-01,Slow,0.20768431983385255
AR,2018-09-01,Swift,0.1536863966770509
AR,2018-09-01,Variable,0.14537902388369678
AR,2019-03-01,Slow,0.2896698615548456
AR,2019-03-01,Swift,0.11075612353567624
AR,2019-03-01,Variable,0.12353567625133119
AR,2019-09-01,Slow,0.054954490812296045
AR,2019-09-01,Swift,0.03297269448737764
AR,2019-09-01,Variable,0.08243173621844407
AR,2020-01-01,Slow,0.07768290641218815
AR,2020-01-01,Swift,0.02678720910765109
AR,2020-01-01,Variable,0.0321446509291813
AR,2020-06-01,Slow,0.20720956778132163
AR,2020-06-01,Swift,0.10842361104836595
AR,2020-06-01,Variable,0.43369444419346387
AR,2020-10-01,Slow,0.17601232086246035
AR,2020-10-01,Swift,0.0860060204214295
AR,2020-10-01,Variable,0.03800266018621303
AR,2020-11-01,Slow,0.37068186773821754
AR,2020-11-01,Swift,0.2803476310625175
AR,2020-11-01,Variable,0.4267513939507211
EM,2017-10-01,Slow,0.4284596331821563
EM,2017-10-01,Swift,0.02434429733989524
EM,2017-10-01,Variable,0.04138530547782189
EM,2017-11-01,Slow,1.2847145488029466
EM,2017-11-01,Swift,0.05009208103130755
EM,2017-11-01,Variable,0.07071823204419889
EM,2017-12-01,Slow,1.864687909209952
EM,2017-12-01,Swift,0.0442310490324458
EM,2017-12-01,Variable,0.04655899898152189
EM,2018-02-01,Slow,1.4114086851263428
EM,2018-02-01,Swift,0.10410046905734605
EM,2018-02-01,Variable,0.01452564684521107
EM,2018-03-01,Slow,1.062909748913013
EM,2018-03-01,Swift,0.02651248806812504
EM,2018-03-01,Variable,0.02410226188011367
EM,2018-04-01,Slow,0.41690140845070417
EM,2018-04-01,Swift,0.0056338028169014
EM,2018-04-01,Variable,0.09765258215962441
EM,2018-05-01,Slow,0.5509754028837999
EM,2018-05-01,Swift,0.07328244274809159
EM,2018-05-01,Variable,0.06513994910941476
EM,2018-06-01,Slow,0.07586206896551721
EM,2018-06-01,Variable,0.032183908045977
EM,2018-07-01,Slow,0.02834138486312398
EM,2018-07-01,Variable,0.01030595813204508
EM,2018-09-01,Slow,0.09227220299884657
EM,2018-09-01,Swift,0.01845444059976932
EM,2018-09-01,Variable,0.0105453946284396
EM,2019-03-01,Slow,0.12345679012345677
EM,2019-03-01,Swift,0.02469135802469135
EM,2019-10-01,Slow,0.5095709570957095
EM,2019-10-01,Swift,0.1848184818481848
EM,2020-01-01,Slow,0.35222742243023053
EM,2020-01-01,Swift,0.0249609984399376
EM,2020-01-01,Variable,0.00832033281331253
EM,2020-06-01,Slow,0.09838242889819877
EM,2020-06-01,Swift,0.048098076350230515
EM,2020-09-01,Slow,0.14292890019433055
EM,2020-09-01,Swift,0.01874477379597778
EM,2020-09-01,Variable,0.00468619344899444
EM,2020-11-01,Slow,0.4058329259631615
EM,2020-11-01,Swift,0.06640902424851733
EM,2020-11-01,Variable,0.014757560944114949
GC,2017-04-01,Slow,0.292156862745098
GC,2017-04-01,Swift,0.07254901960784313
GC,2017-10-01,Slow,0.024273169205965228
GC,2017-10-01,Swift,0.00173379780042608
GC,2017-10-01,Variable,0.02774076480681743
GC,2017-11-01,Slow,0.5788309636650868
GC,2017-11-01,Swift,0.06571879936808847
GC,2017-11-01,Variable,0.01011058451816745
GC,2017-12-01,Slow,0.5284627092846271
GC,2017-12-01,Swift,0.05844748858447488
GC,2017-12-01,Variable,0.02922374429223744
GC,2018-02-01,Slow,0.46747376916868427
GC,2018-02-01,Swift,0.02066182405165455
GC,2018-02-01,Variable,0.046489104116222736
GC,2018-04-01,Slow,0.40991735537190077
GC,2018-04-01,Swift,0.01322314049586776
GC,2018-04-01,Variable,0.00661157024793388
GC,2018-05-01,Slow,0.3651888341543514
GC,2018-05-01,Swift,0.02627257799671592
GC,2018-05-01,Variable,0.02364532019704433
GC,2018-06-01,Slow,0.3134328358208955
GC,2018-06-01,Swift,0.03283582089552239
GC,2018-07-01,Slow,0.01045751633986927
GC,2018-07-01,Swift,0.00836601307189542
GC,2018-08-01,Slow,1.3404825737265416
GC,2018-08-01,Swift,0.07506702412868632
GC,2018-08-01,Variable,0.18230563002680963
GC,2018-11-01,Slow,0.1600717626986667
GC,2018-11-01,Swift,0.06318622211789475
GC,2018-11-01,Variable,0.03580552586680702
GC,2019-03-01,Slow,0.05566830965497243
GC,2019-03-01,Swift,0.00927805160916207
GC,2019-10-01,Slow,0.589738073100351
GC,2019-10-01,Swift,0.10741657760042107
GC,2020-01-01,Slow,0.09660377358490563
GC,2020-01-01,Swift,0.03018867924528302
GC,2020-06-01,Slow,0.24889150192302978
GC,2020-06-01,Swift,0.02547708287401092
GC,2020-06-01,Variable,0.03919551211386295
GC,2020-09-01,Slow,0.30750628097375443
GC,2020-09-01,Swift,0.09899174798470177
GC,2020-09-01,Variable,0.03791173327073685
GC,2020-11-01,Slow,0.401204277076722
GC,2020-11-01,Swift,0.0797094590218653
GC,2020-11-01,Variable,0.07439549508707428
MR,2017-04-01,Slow,0.0801720298488699
MR,2017-04-01,Swift,0.00911045793737158
MR,2017-04-01,Variable,0.00911045793737158
MR,2017-10-01,Slow,0.00879120879120879
MR,2017-10-01,Swift,0.2695970695970696
MR,2017-11-01,Slow,0.9503843466107618
MR,2017-11-01,Swift,0.01788958770090845
MR,2017-11-01,Variable,0.01565338923829489
MR,2017-12-01,Slow,0.37979797979797975
MR,2017-12-01,Swift,0.00808080808080808
MR,2017-12-01,Variable,0.26666666666666666
MR,2018-02-01,Slow,0.7492728330424664
MR,2018-02-01,Swift,0.0791157649796393
MR,2018-02-01,Variable,0.5747527632344386
MR,2018-03-01,Slow,0.07824967824967824
MR,2018-03-01,Swift,0.01235521235521234
MR,2018-03-01,Variable,0.026769626769626742
MR,2018-04-01,Slow,0.05836477987421382
MR,2018-04-01,Swift,0.020125786163522
MR,2018-04-01,Variable,0.0060377358490566
MR,2018-06-01,Slow,0.03356643356643354
MR,2018-06-01,Variable,0.0149184149184149
MR,2018-08-01,Slow,0.028338646829613873
MR,2018-08-01,Swift,0.00755697248789703
MR,2019-03-01,Slow,0.16603773584905657
MR,2019-03-01,Swift,0.00943396226415094
MR,2019-03-01,Variable,0.03584905660377358
MR,2019-10-01,Slow,0.02248995983935742
MR,2020-01-01,Slow,0.03717904031602181
MR,2020-01-01,Swift,0.01858952015801092
MR,2020-01-01,Variable,0.00557685604740327
MR,2020-06-01,Slow,0.056801684778543124
MR,2020-06-01,Swift,0.03651536878620632
MR,2020-06-01,Variable,0.01622905279386945
MR,2020-09-01,Slow,0.118869205446464
MR,2020-09-01,Swift,0.00819787623768717
MR,2020-09-01,Variable,0.01024734529710896
MR,2020-11-01,Slow,0.3123051303308893
MR,2020-11-01,Swift,0.00986226727360703
MR,2020-11-01,Variable,0.01808082333494621
PD,2017-03-01,Slow,0.14558366622281402
PD,2017-03-01,Swift,0.03195739014647137
PD,2017-10-01,Slow,0.12490241998438718
PD,2017-10-01,Swift,0.02248243559718969
PD,2017-10-01,Variable,0.00499609679937548
PD,2017-11-01,Slow,0.12373737373737373
PD,2017-11-01,Swift,0.01515151515151515
PD,2017-11-01,Variable,0.00757575757575757
PD,2017-12-01,Slow,0.3972942888945971
PD,2017-12-01,Swift,0.06575905471358849
PD,2017-12-01,Variable,0.02465964551759568
PD,2018-02-01,Slow,0.18105101649405447
PD,2018-02-01,Swift,0.03375527426160337
PD,2018-03-01,Slow,0.14615958240119312
PD,2018-03-01,Swift,0.02087994034302759
PD,2018-03-01,Variable,0.00596569724086502
PD,2018-04-01,Slow,0.16674937965260542
PD,2018-04-01,Swift,0.01058726220016542
PD,2018-05-01,Slow,0.18285714285714286
PD,2018-05-01,Variable,0.00338624338624338
PD,2018-06-01,Slow,0.4796747967479675
PD,2018-06-01,Swift,0.02845528455284553
