site_code,collection_period,reproduction,density
AR,2017-03-01,ComplexNest,0.07290167865707434
AR,2017-03-01,SimpleNest,0.3031175059952038
AR,2017-09-01,Bearer,0.01718120805369127
AR,2017-09-01,ComplexNest,0.0773154362416107
AR,2017-09-01,SimpleNest,0.16751677852348992
AR,2017-11-01,Bearer,0.0720112517580872
AR,2017-11-01,Broadcaster,0.0090014064697609
AR,2017-11-01,ComplexNest,0.3690576652601969
AR,2017-11-01,Migratory,0.0180028129395218
AR,2017-11-01,SimpleNest,0.5085794655414908
AR,2017-12-01,Bearer,0.07238095238095238
AR,2017-12-01,ComplexNest,0.16
AR,2017-12-01,SimpleNest,0.30095238095238097
AR,2018-02-01,Bearer,0.10360010360010362
AR,2018-02-01,ComplexNest,0.14504014504014506
AR,2018-02-01,SimpleNest,0.2983682983682984
AR,2018-04-01,Bearer,0.00972644376899696
AR,2018-04-01,ComplexNest,0.00648429584599797
AR,2018-04-01,SimpleNest,0.15886524822695033
AR,2018-05-01,ComplexNest,0.26666666666666666
AR,2018-05-01,SimpleNest,0.2962962962962963
AR,2018-06-01,Bearer,0.03353293413173652
AR,2018-06-01,Broadcaster,0.00958083832335329
AR,2018-06-01,ComplexNest,0.08143712574850298
AR,2018-06-01,SimpleNest,0.13892215568862273
AR,2018-07-01,Bearer,0.04071246819338422
AR,2018-07-01,ComplexNest,0.02442748091603053
AR,2018-07-01,SimpleNest,0.01628498727735369
AR,2018-08-01,ComplexNest,0.054794520547945195
AR,2018-09-01,Bearer,0.02076843198338525
AR,2018-09-01,Broadcaster,0.01246105919003115
AR,2018-09-01,ComplexNest,0.2533748701973001
AR,2018-09-01,SimpleNest,0.2201453790238837
AR,2019-03-01,Bearer,0.08519701810436633
AR,2019-03-01,ComplexNest,0.25133120340788073
AR,2019-03-01,Migratory,0.01277955271565495
AR,2019-03-01,SimpleNest,0.174653887113951
AR,2019-09-01,ComplexNest,0.07693628713721447
AR,2019-09-01,Migratory,0.0054954490812296
AR,2019-09-01,SimpleNest,0.0879271852996737
AR,2020-01-01,ComplexNest,0.0910765109660137
AR,2020-01-01,SimpleNest,0.04553825548300685
AR,2020-06-01,Bearer,0.00481882715770515
AR,2020-06-01,Broadcaster,0.00481882715770515
AR,2020-06-01,ComplexNest,0.23371311714869997
AR,2020-06-01,SimpleNest,0.5059768515590412
AR,2020-10-01,Bearer,0.0280019601372096
AR,2020-10-01,ComplexNest,0.17401218085265968
AR,2020-10-01,Migratory,0.00400028001960137
AR,2020-10-01,SimpleNest,0.09400658046063225
AR,2020-11-01,Bearer,0.00622994735694483
AR,2020-11-01,ComplexNest,0.44544123602155555
AR,2020-11-01,SimpleNest,0.6261097093729557
EM,2017-10-01,Bearer,0.1801478003152248
EM,2017-10-01,Broadcaster,0.11198376776351812
EM,2017-10-01,ComplexNest,0.17284451111325624
EM,2017-10-01,SimpleNest,0.029213156807874282
EM,2017-11-01,Bearer,0.6040515653775322
EM,2017-11-01,Broadcaster,0.2003683241252302
EM,2017-11-01,ComplexNest,0.5333333333333333
EM,2017-11-01,SimpleNest,0.06777163904235727
EM,2017-12-01,Bearer,1.1150880256074494
EM,2017-12-01,Broadcaster,0.10708569765750035
EM,2017-12-01,ComplexNest,0.6890731849265241
EM,2017-12-01,SimpleNest,0.0442310490324458
EM,2018-02-01,Bearer,0.476925404751097
EM,2018-02-01,Broadcaster,0.14525646845211074
EM,2018-02-01,ComplexNest,0.8037524587683462
EM,2018-02-01,SimpleNest,0.10410046905734605
EM,2018-03-01,Bearer,0.6531712969510806
EM,2018-03-01,Broadcaster,0.06507610707630691
EM,2018-03-01,ComplexNest,0.34948279726164827
EM,2018-03-01,SimpleNest,0.04579429757221598
EM,2018-04-01,Bearer,0.24788732394366195
EM,2018-04-01,Broadcaster,0.11267605633802817
EM,2018-04-01,ComplexNest,0.06009389671361501
EM,2018-04-01,SimpleNest,0.09953051643192488
EM,2018-05-01,Bearer,0.2279898218829517
EM,2018-05-01,Broadcaster,0.0922815945716709
EM,2018-05-01,ComplexNest,0.2497031382527566
EM,2018-05-01,SimpleNest,0.11942324003392706
EM,2018-06-01,Bearer,0.02758620689655172
EM,2018-06-01,Broadcaster,0.03908045977011493
EM,2018-06-01,ComplexNest,0.036781609195402284
EM,2018-06-01,SimpleNest,0.00459770114942528
EM,2018-07-01,Broadcaster,0.01545893719806762
EM,2018-07-01,ComplexNest,0.01288244766505636
EM,2018-07-01,SimpleNest,0.01030595813204508
EM,2018-09-01,Bearer,0.05009062448508815
EM,2018-09-01,Broadcaster,0.01845444059976931
EM,2018-09-01,ComplexNest,0.03427253254242871
EM,2018-09-01,SimpleNest,0.01845444059976932
EM,2019-03-01,Bearer,0.02962962962962963
EM,2019-03-01,ComplexNest,0.09382716049382714
EM,2019-03-01,SimpleNest,0.02469135802469135
EM,2019-10-01,Bearer,0.13465346534653466
EM,2019-10-01,Broadcaster,0.00528052805280528
EM,2019-10-01,ComplexNest,0.37491749174917494
EM,2019-10-01,SimpleNest,0.17953795379537954
EM,2020-01-01,Bearer,0.02773444271104177
EM,2020-01-01,Broadcaster,0.013867221355520879
EM,2020-01-01,ComplexNest,0.3189460911769804
EM,2020-01-01,SimpleNest,0.0249609984399376
EM,2020-06-01,Bearer,0.017490209581902
EM,2020-06-01,Broadcaster,0.01093138098868875
EM,2020-06-01,ComplexNest,0.07433339072308352
EM,2020-06-01,SimpleNest,0.04372552395475501
EM,2020-09-01,Bearer,0.02343096724497222
EM,2020-09-01,Broadcaster,0.014058580346983318
EM,2020-09-01,ComplexNest,0.11012554605136946
EM,2020-09-01,SimpleNest,0.01874477379597778
EM,2020-11-01,Bearer,0.15495438991320712
EM,2020-11-01,Broadcaster,0.05165146330440234
EM,2020-11-01,ComplexNest,0.22382300765241028
EM,2020-11-01,SimpleNest,0.05657065028577402
GC,2017-04-01,Bearer,0.10392156862745096
GC,2017-04-01,ComplexNest,0.18235294117647055
GC,2017-04-01,Migratory,0.00588235294117647
GC,2017-04-01,SimpleNest,0.07254901960784313
GC,2017-10-01,Bearer,0.00693519120170435
GC,2017-10-01,Broadcaster,0.02774076480681743
GC,2017-10-01,ComplexNest,0.01733797800426088
GC,2017-10-01,SimpleNest,0.00173379780042608
GC,2017-11-01,Bearer,0.24265402843601896
GC,2017-11-01,Broadcaster,0.02527646129541863
GC,2017-11-01,ComplexNest,0.3210110584518167
GC,2017-11-01,SimpleNest,0.06571879936808847
GC,2017-12-01,Bearer,0.28249619482496197
GC,2017-12-01,Broadcaster,0.04383561643835616
GC,2017-12-01,ComplexNest,0.21187214611872143
GC,2017-12-01,SimpleNest,0.07792998477929984
GC,2018-02-01,Bearer,0.343502824858757
GC,2018-02-01,Broadcaster,0.059402744148506825
GC,2018-02-01,ComplexNest,0.10330912025827273
GC,2018-02-01,SimpleNest,0.028410008071025
GC,2018-04-01,Bearer,0.3085399449035813
GC,2018-04-01,Broadcaster,0.015426997245179049
GC,2018-04-01,ComplexNest,0.09256198347107435
GC,2018-04-01,SimpleNest,0.01322314049586776
GC,2018-05-01,Bearer,0.1865353037766831
GC,2018-05-01,Broadcaster,0.09983579638752052
GC,2018-05-01,ComplexNest,0.09720853858784892
GC,2018-05-01,SimpleNest,0.0315270935960591
GC,2018-06-01,Bearer,0.1701492537313433
GC,2018-06-01,Broadcaster,0.00597014925373134
GC,2018-06-01,ComplexNest,0.13731343283582087
GC,2018-06-01,SimpleNest,0.03283582089552239
GC,2018-07-01,Bearer,0.00418300653594771
GC,2018-07-01,ComplexNest,0.00627450980392156
GC,2018-07-01,SimpleNest,0.00836601307189542
GC,2018-08-01,Bearer,0.5576407506702413
GC,2018-08-01,Broadcaster,0.16085790884718498
GC,2018-08-01,ComplexNest,0.7828418230563002
GC,2018-08-01,SimpleNest,0.09651474530831097
GC,2018-11-01,Bearer,0.07371725913754387
GC,2018-11-01,Broadcaster,0.00421241480785965
GC,2018-11-01,ComplexNest,0.09056691836898248
GC,2018-11-01,SimpleNest,0.09056691836898247
GC,2019-03-01,Bearer,0.02010244515318449
GC,2019-03-01,Broadcaster,0.00309268386972069
GC,2019-03-01,ComplexNest,0.03247318063206725
GC,2019-03-01,SimpleNest,0.00927805160916207
GC,2019-10-01,Bearer,0.02738069625108772
GC,2019-10-01,Broadcaster,0.01895586663536842
GC,2019-10-01,ComplexNest,0.5391890954060352
GC,2019-10-01,SimpleNest,0.11162899240828073
GC,2020-01-01,Bearer,0.02817610062893081
GC,2020-01-01,Broadcaster,0.0040251572327044
GC,2020-01-01,ComplexNest,0.06440251572327042
GC,2020-01-01,SimpleNest,0.03018867924528302
GC,2020-06-01,Bearer,0.05487371695940814
GC,2020-06-01,Broadcaster,0.00783910242277258
GC,2020-06-01,ComplexNest,0.19009823375223536
GC,2020-06-01,SimpleNest,0.060753043776487575
GC,2020-09-01,Bearer,0.00421241480785965
GC,2020-09-01,Broadcaster,0.0084248296157193
GC,2020-09-01,ComplexNest,0.30329386616589477
GC,2020-09-01,SimpleNest,0.12847865163971933
GC,2020-11-01,Bearer,0.10362229672842488
GC,2020-11-01,Broadcaster,0.03719774754353714
GC,2020-11-01,ComplexNest,0.26038423280476
GC,2020-11-01,SimpleNest,0.1541049541089396
MR,2017-04-01,Bearer,0.00911045793737158
MR,2017-04-01,ComplexNest,0.06195111397412674
MR,2017-04-01,Migratory,0.01822091587474316
MR,2017-04-01,SimpleNest,0.00911045793737158
MR,2017-10-01,Bearer,0.00879120879120879
MR,2017-10-01,Broadcaster,0.2695970695970696
MR,2017-11-01,Bearer,0.9168413696715584
MR,2017-11-01,Broadcaster,0.00670859538784067
MR,2017-11-01,ComplexNest,0.03801537386443046
MR,2017-11-01,SimpleNest,0.02236198462613556
MR,2017-12-01,Bearer,0.35151515151515145
MR,2017-12-01,Broadcaster,0.17373737373737372
MR,2017-12-01,ComplexNest,0.02828282828282828
MR,2017-12-01,Migratory,0.00404040404040404
MR,2017-12-01,SimpleNest,0.09696969696969696
MR,2018-02-01,Bearer,0.7073880162885398
MR,2018-02-01,Broadcaster,0.47236765561372884
MR,2018-02-01,ComplexNest,0.03723094822571259
MR,2018-02-01,Migratory,0.02094240837696335
MR,2018-02-01,SimpleNest,0.16521233275159974
MR,2018-03-01,Bearer,0.07413127413127413
MR,2018-03-01,Broadcaster,0.02676962676962675
MR,2018-03-01,ComplexNest,0.00411840411840411
MR,2018-03-01,Migratory,0.00823680823680822
MR,2018-03-01,SimpleNest,0.00411840411840411
MR,2018-04-01,Bearer,0.044276729559748415
MR,2018-04-01,Broadcaster,0.0060377358490566
MR,2018-04-01,ComplexNest,0.0140880503144654
MR,2018-04-01,Migratory,0.010062893081761
MR,2018-04-01,SimpleNest,0.010062893081761
MR,2018-06-01,Bearer,0.02237762237762236
MR,2018-06-01,Broadcaster,0.00745920745920745
MR,2018-06-01,ComplexNest,0.01864801864801863
MR,2018-08-01,Bearer,0.02456016058566536
MR,2018-08-01,Broadcaster,0.00755697248789703
MR,2018-08-01,SimpleNest,0.00377848624394851
MR,2019-03-01,Bearer,0.1509433962264151
MR,2019-03-01,Broadcaster,0.04339622641509433
MR,2019-03-01,ComplexNest,0.00754716981132074
MR,2019-03-01,SimpleNest,0.00943396226415094
MR,2019-10-01,ComplexNest,0.02248995983935742
MR,2020-01-01,Bearer,0.00557685604740327
MR,2020-01-01,ComplexNest,0.03717904031602181
MR,2020-01-01,Migratory,0.00929476007900546
MR,2020-01-01,SimpleNest,0.00929476007900546
MR,2020-06-01,Bearer,0.024343579190804203
MR,2020-06-01,Broadcaster,0.00405726319846736
MR,2020-06-01,ComplexNest,0.04462989518314101
MR,2020-06-01,Migratory,0.01825768439310316
MR,2020-06-01,SimpleNest,0.01825768439310316
MR,2020-09-01,Bearer,0.08812716955513711
MR,2020-09-01,ComplexNest,0.03689044306959226
MR,2020-09-01,Migratory,0.00409893811884358
MR,2020-09-01,SimpleNest,0.00819787623768717
MR,2020-11-01,Bearer,0.23176328092976525
MR,2020-11-01,Broadcaster,0.041092780306695956
MR,2020-11-01,ComplexNest,0.05752989242937431
MR,2020-11-01,SimpleNest,0.00986226727360703
PD,2017-03-01,Bearer,0.01775410563692854
PD,2017-03-01,Broadcaster,0.01775410563692854
PD,2017-03-01,ComplexNest,0.11007545494895694
PD,2017-03-01,SimpleNest,0.03195739014647137
PD,2017-10-01,Bearer,0.00999219359875097
PD,2017-10-01,Broadcaster,0.00499609679937548
PD,2017-10-01,ComplexNest,0.11491022638563621
PD,2017-10-01,SimpleNest,0.02248243559718969
PD,2017-11-01,Bearer,0.03787878787878788
PD,2017-11-01,Broadcaster,0.02525252525252525
PD,2017-11-01,ComplexNest,0.06818181818181818
PD,2017-11-01,SimpleNest,0.01515151515151515
PD,2017-12-01,Bearer,0.11233838513571366
PD,2017-12-01,Broadcaster,0.07123897593972087
PD,2017-12-01,ComplexNest,0.23837657333675827
PD,2017-12-01,SimpleNest,0.06575905471358849
PD,2018-02-01,Bearer,0.036823935558112766
PD,2018-02-01,Broadcaster,0.03989259685462217
PD,2018-02-01,ComplexNest,0.10433448408131953
PD,2018-02-01,SimpleNest,0.03375527426160337
PD,2018-03-01,Bearer,0.02087994034302759
PD,2018-03-01,Broadcaster,0.0238627889634601
PD,2018-03-01,ComplexNest,0.10738255033557044
PD,2018-03-01,SimpleNest,0.02087994034302759
PD,2018-04-01,Bearer,0.06087675765095119
PD,2018-04-01,Broadcaster,0.06881720430107525
PD,2018-04-01,ComplexNest,0.03705541770057897
PD,2018-04-01,SimpleNest,0.01058726220016542
PD,2018-05-01,Bearer,0.13883597883597884
PD,2018-05-01,Broadcaster,0.04063492063492063
PD,2018-05-01,ComplexNest,0.00677248677248676
PD,2018-06-01,Bearer,0.25609756097560976
PD,2018-06-01,Broadcaster,0.04065040650406504
PD,2018-06-01,ComplexNest,0.19512195121951217
PD,2018-06-01,SimpleNest,0.02845528455284553
PD,2018-08-01,Bearer,0.13879852526566905
PD,2018-08-01,Broadcaster,0.1075688570808935
PD,2018-08-01,ComplexNest,0.21860767729342875
PD,2018-08-01,SimpleNest,0.08327911515940142
PD,2018-09-01,Bearer,0.09645390070921986
PD,2018-09-01,Broadcaster,0.07943262411347517
PD,2018-09-01,ComplexNest,0.3347517730496454
PD,2018-09-01,SimpleNest,0.09645390070921986
PD,2019-03-01,Bearer,0.04900900900900901
PD,2019-03-01,Broadcaster,0.02018018018018018
PD,2019-03-01,ComplexNest,0.01729729729729728
PD,2019-03-01,SimpleNest,0.014414414414414399
PD,2019-10-01,Bearer,0.09102222222222221
PD,2019-10-01,Broadcaster,0.03982222222222219
PD,2019-10-01,ComplexNest,0.10239999999999995
PD,2019-10-01,SimpleNest,0.01706666666666666
PD,2020-01-01,Bearer,0.00826553015627018
PD,2020-01-01,Broadcaster,0.02066382539067544
PD,2020-01-01,ComplexNest,0.14464677773472812
PD,2020-01-01,SimpleNest,0.02892935554694562
PD,2020-06-01,Bearer,0.03690618524598356
PD,2020-06-01,Broadcaster,0.01640274899821492
PD,2020-06-01,ComplexNest,0.11071855573795068
PD,2020-06-01,SimpleNest,0.061510308743305944
PD,2020-09-01,Bearer,0.06286662120926363
PD,2020-09-01,Broadcaster,0.02514664848370545
PD,2020-09-01,ComplexNest,0.5783729151252255
PD,2020-09-01,SimpleNest,0.1225899113580641
PL,2017-04-01,Bearer,0.0680089485458613
PL,2017-04-01,Broadcaster,0.03579418344519015
PL,2017-04-01,ComplexNest,0.2541387024608501
PL,2017-04-01,Migratory,0.06085011185682326
PL,2017-04-01,SimpleNest,0.8268456375838926
PL,2017-10-01,Bearer,0.13021645021645023
PL,2017-10-01,Broadcaster,0.00554112554112554
PL,2017-10-01,ComplexNest,0.0664935064935065
PL,2017-10-01,SimpleNest,0.09696969696969697
PL,2017-11-01,Bearer,1.2173913043478262
PL,2017-11-01,Broadcaster,0.03478260869565217
PL,2017-11-01,ComplexNest,0.970048309178744
PL,2017-11-01,Migratory,0.023188405797101443
PL,2017-11-01,SimpleNest,0.591304347826087
PL,2017-12-01,Bearer,0.39034738796075313
PL,2017-12-01,ComplexNest,0.3267037920975868
PL,2017-12-01,SimpleNest,0.36913285600636436
PL,2018-02-01,Bearer,1.951219512195122
PL,2018-02-01,ComplexNest,2.0075880758807587
PL,2018-02-01,SimpleNest,1.0016260162601625
PL,2018-03-01,Bearer,0.02150537634408601
PL,2018-03-01,Broadcaster,0.0043010752688172
PL,2018-03-01,ComplexNest,0.05161290322580644
PL,2018-03-01,Migratory,0.0043010752688172
PL,2018-03-01,SimpleNest,0.2623655913978495
PL,2018-04-01,Bearer,0.8363233665559247
PL,2018-04-01,Broadcaster,0.35791805094130674
PL,2018-04-01,ComplexNest,0.9603543743078627
PL,2018-04-01,SimpleNest,2.158139534883721
PL,2018-05-01,Bearer,0.37361354349095155
PL,2018-05-01,Broadcaster,0.10274372446001168
PL,2018-05-01,ComplexNest,0.1541155866900175
PL,2018-05-01,SimpleNest,0.1727962638645651
PL,2018-06-01,Bearer,0.8936321593738885
PL,2018-06-01,Broadcaster,0.4268943436499467
PL,2018-06-01,ComplexNest,1.0245464247598721
PL,2018-06-01,Migratory,0.01138384916399857
PL,2018-06-01,SimpleNest,0.4155104944859481
PL,2018-08-01,Bearer,0.14531173294059888
PL,2018-08-01,ComplexNest,0.0628375061364752
PL,2018-08-01,SimpleNest,0.0432007854688267
PL,2018-10-01,Bearer,0.04218852999340804
PL,2018-10-01,ComplexNest,0.052735662491760045
PL,2018-10-01,Migratory,0.01054713249835201
PL,2018-10-01,SimpleNest,0.04570424082619204
PL,2019-03-01,Bearer,0.16825396825396827
PL,2019-03-01,ComplexNest,0.2698412698412698
PL,2019-03-01,Migratory,0.00952380952380952
PL,2019-03-01,SimpleNest,0.13015873015873014
PL,2019-10-01,Bearer,0.10566037735849056
PL,2019-10-01,Broadcaster,0.010062893081761
PL,2019-10-01,ComplexNest,0.4226415094339622
PL,2019-10-01,Migratory,0.06037735849056604
PL,2019-10-01,SimpleNest,0.1559748427672956
PL,2020-01-01,Bearer,0.6188014551024316
PL,2020-01-01,ComplexNest,0.22362626842810643
PL,2020-01-01,SimpleNest,0.20524602718744017
PL,2020-06-01,Bearer,0.25196156011448506
PL,2020-06-01,Broadcaster,0.01259807800572425
PL,2020-06-01,ComplexNest,0.6897447708134028
PL,2020-06-01,SimpleNest,0.3181014696445374
PL,2020-09-01,Bearer,0.2432505961239938
PL,2020-09-01,Broadcaster,0.0096019972154208
PL,2020-09-01,ComplexNest,0.7201497911565605
PL,2020-09-01,SimpleNest,0.1376286267543649
PL,2020-11-01,Bearer,1.7793032706040164
PL,2020-11-01,ComplexNest,0.6706908115358818
PL,2020-11-01,Migratory,0.01578096027143251
PL,2020-11-01,SimpleNest,0.44975736773582675
SF,2017-03-01,Bearer,1.0552074007758878
SF,2017-03-01,Broadcaster,0.05729632945389436
SF,2017-09-01,Bearer,0.2738788086271825
SF,2017-09-01,Broadcaster,0.00730343489672486
SF,2017-09-01,ComplexNest,0.12415839324432269
SF,2017-09-01,SimpleNest,0.01825858724181215
SF,2017-11-01,Bearer,3.7375661375661373
SF,2017-11-01,Broadcaster,0.24126984126984125
SF,2017-11-01,ComplexNest,2.196825396825397
SF,2017-11-01,SimpleNest,0.18201058201058198
SF,2017-12-01,Bearer,0.5607064017660044
SF,2017-12-01,Broadcaster,0.03090507726269315
SF,2017-12-01,ComplexNest,0.06622516556291391
SF,2017-12-01,SimpleNest,0.01766004415011037
SF,2018-02-01,Bearer,3.431268436578171
