site_code,collection_period,substrate_simple,density
AR,2017-03-01,Mixed,0.3760191846522782
AR,2017-09-01,Mixed,0.2620134228187919
AR,2017-11-01,Mixed,0.9766526019690577
AR,2017-12-01,Mixed,0.5333333333333333
AR,2018-02-01,Mixed,0.5470085470085471
AR,2018-04-01,Mixed,0.17507598784194528
AR,2018-05-01,Mixed,0.562962962962963
AR,2018-06-01,Mixed,0.26347305389221554
AR,2018-07-01,Mixed,0.08142493638676844
AR,2018-08-01,Mixed,0.054794520547945195
AR,2018-09-01,Mixed,0.5067497403946002
AR,2019-03-01,Mixed,0.523961661341853
AR,2019-09-01,Mixed,0.17035892151811777
AR,2020-01-01,Mixed,0.13125732462749035
AR,2020-01-01,"Mud(Silt,Clay,Detritus)",0.00535744182153021
AR,2020-06-01,Mixed,0.7493276230231514
AR,2020-10-01,Mixed,0.3000210014701029
AR,2020-11-01,Mixed,1.077780892751456
EM,2017-10-01,Mixed,0.4941892359998734
EM,2017-11-01,Mixed,1.38195211786372
EM,2017-11-01,"Mud(Silt,Clay,Detritus)",0.02357274401473296
EM,2017-12-01,Mixed,1.939182307580387
EM,2017-12-01,"Mud(Silt,Clay,Detritus)",0.01629564964353266
EM,2018-02-01,Mixed,1.4937206839158723
EM,2018-02-01,"Mud(Silt,Clay,Detritus)",0.03631411711302769
EM,2018-03-01,Mixed,1.108704046485229
EM,2018-03-01,"Mud(Silt,Clay,Detritus)",0.00482045237602273
EM,2018-04-01,Mixed,0.5145539906103286
EM,2018-04-01,"Mud(Silt,Clay,Detritus)",0.0056338028169014
EM,2018-05-01,Mixed,0.683969465648855
EM,2018-05-01,"Mud(Silt,Clay,Detritus)",0.00542832909245123
EM,2018-06-01,Mixed,0.10804597701149421
EM,2018-07-01,Mixed,0.03864734299516906
EM,2018-09-01,Mixed,0.1212720382270555
EM,2019-03-01,Mixed,0.13580246913580246
EM,2019-03-01,"Mud(Silt,Clay,Detritus)",0.01234567901234567
EM,2019-10-01,Mixed,0.6653465346534654
EM,2019-10-01,"Mud(Silt,Clay,Detritus)",0.02904290429042904
EM,2020-01-01,Mixed,0.37164153232795977
EM,2020-01-01,"Mud(Silt,Clay,Detritus)",0.01386722135552088
EM,2020-06-01,Mixed,0.1464805052484293
EM,2020-09-01,Mixed,0.16635986743930278
EM,2020-11-01,Mixed,0.48699951115579376
GC,2017-04-01,Mixed,0.3647058823529411
GC,2017-10-01,Mixed,0.05374773181320874
GC,2017-11-01,Mixed,0.649605055292259
GC,2017-11-01,"Mud(Silt,Clay,Detritus)",0.00505529225908372
GC,2017-12-01,Mixed,0.6161339421613394
GC,2018-02-01,Mixed,0.529459241323648
GC,2018-02-01,"Mud(Silt,Clay,Detritus)",0.00516545601291363
GC,2018-04-01,Mixed,0.42975206611570244
GC,2018-05-01,Mixed,0.41510673234811163
GC,2018-06-01,Mixed,0.28059701492537314
GC,2018-06-01,"Mud(Silt,Clay,Detritus)",0.06567164179104477
GC,2018-07-01,Mixed,0.01882352941176469
GC,2018-08-01,Mixed,1.4691689008042896
GC,2018-08-01,"Mud(Silt,Clay,Detritus)",0.128686327077748
GC,2018-11-01,Mixed,0.25906351068336847
GC,2019-03-01,Mixed,0.0649463612641345
GC,2019-10-01,Mixed,0.6929422358929125
GC,2019-10-01,"Mud(Silt,Clay,Detritus)",0.00421241480785965
GC,2020-01-01,Mixed,0.12679245283018864
GC,2020-06-01,Mixed,0.31356409691090364
GC,2020-09-01,Mixed,0.44440976222919304
GC,2020-11-01,Mixed,0.5553092311856616
MR,2017-04-01,Mixed,0.09839294572361307
MR,2017-10-01,Mixed,0.00879120879120879
MR,2017-10-01,"Mud(Silt,Clay,Detritus)",0.2695970695970696
MR,2017-11-01,Mixed,0.983927323549965
MR,2017-12-01,Mixed,0.6505050505050505
MR,2017-12-01,"Mud(Silt,Clay,Detritus)",0.00404040404040404
MR,2018-02-01,Mixed,1.389179755671902
MR,2018-02-01,"Mud(Silt,Clay,Detritus)",0.00465386852821407
MR,2018-02-01,Vegetation,0.00930773705642815
MR,2018-03-01,Mixed,0.1091377091377091
MR,2018-03-01,"Mud(Silt,Clay,Detritus)",0.00823680823680823
MR,2018-04-01,Mixed,0.08452830188679242
MR,2018-06-01,Mixed,0.048484848484848436
MR,2018-08-01,Mixed,0.028338646829613873
MR,2018-08-01,"Mud(Silt,Clay,Detritus)",0.00755697248789703
MR,2019-03-01,Mixed,0.2075471698113207
MR,2019-03-01,"Mud(Silt,Clay,Detritus)",0.00377358490566037
MR,2019-10-01,Mixed,0.02248995983935742
MR,2020-01-01,Mixed,0.061345416521436
MR,2020-06-01,Mixed,0.10954610635861889
MR,2020-09-01,Mixed,0.13731442698126012
MR,2020-11-01,Mixed,0.34024822093944257
PD,2017-03-01,Mixed,0.1775410563692854
PD,2017-10-01,Mixed,0.15238095238095234
PD,2017-11-01,Mixed,0.14646464646464646
PD,2017-12-01,Mixed,0.4877129891257813
PD,2018-02-01,Mixed,0.21480629075565782
PD,2018-03-01,Mixed,0.17300521998508572
PD,2018-04-01,Mixed,0.17733664185277084
PD,2018-05-01,Mixed,0.18624338624338624
PD,2018-06-01,Mixed,0.5203252032520326
PD,2018-08-01,Mixed,0.5482541747993928
PD,2018-09-01,Mixed,0.6070921985815603
PD,2019-03-01,Mixed,0.10090090090090087
PD,2019-10-01,Mixed,0.25031111111111104
PD,2020-01-01,Mixed,0.20250548882861935
PD,2020-06-01,Mixed,0.2255377987254551
PD,2020-09-01,Mixed,0.7889760961762586
PL,2017-04-01,Mixed,1.2456375838926175
PL,2017-10-01,Mixed,0.2992207792207792
PL,2017-11-01,Mixed,2.8367149758454104
PL,2017-12-01,Mixed,1.0861840360647044
PL,2018-02-01,Mixed,4.9604336043360435
PL,2018-03-01,Mixed,0.3440860215053763
PL,2018-04-01,Mixed,4.3127353266888155
PL,2018-05-01,Mixed,0.8032691185055458
PL,2018-06-01,Mixed,2.771967271433654
PL,2018-08-01,Mixed,0.22385861561119288
PL,2018-08-01,"Mud(Silt,Clay,Detritus)",0.0274914089347079
PL,2018-10-01,Mixed,0.15117556580971214
PL,2019-03-01,Mixed,0.5777777777777777
PL,2019-10-01,Mixed,0.7547169811320754
PL,2020-01-01,Mixed,1.047673750717978
PL,2020-06-01,Mixed,1.2724058785781496
PL,2020-09-01,Mixed,1.1106310112503401
PL,2020-11-01,Mixed,2.9155324101471574
SF,2017-03-01,Mixed,1.1125037302297822
SF,2017-09-01,Mixed,0.4235992240100422
SF,2017-11-01,Mixed,6.357671957671958
SF,2017-12-01,Mixed,0.6754966887417219
SF,2018-02-01,Mixed,3.941002949852508
SF,2018-04-01,Mixed,1.573109243697479
SF,2018-05-01,Mixed,0.8704663212435233
SF,2018-06-01,Mixed,1.7541666666666667
SF,2018-07-01,Mixed,0.5575757575757576
SF,2018-09-01,Mixed,0.3931873479318735
SF,2019-04-01,Mixed,3.1470509741126236
SF,2019-10-01,Mixed,2.3058446757405924
SF,2020-01-01,Mixed,4.753358681875792
SF,2020-06-01,Mixed,2.0105063707636974
SF,2020-09-01,Mixed,1.0426668742773275
SF,2020-11-01,Mixed,2.381276982503976
TR,2017-04-01,Mixed,0.6340557275541796
TR,2017-10-01,Mixed,1.1740827478532398
TR,2017-11-01,Mixed,1.5946127946127946
TR,2017-12-01,Mixed,1.9925925925925927
TR,2018-02-01,Mixed,12.83646723646724
TR,2018-04-01,Mixed,4.046620046620046
TR,2018-06-01,Mixed,2.8407407407407406
TR,2018-07-01,Mixed,1.0256410256410255
TR,2018-09-01,Mixed,0.20833333333333334
TR,2019-10-01,Mixed,0.04789575629512236
TR,2020-01-01,Mixed,1.5201131999191433
TR,2020-06-01,Mixed,0.2882201281228538
TR,2020-09-01,Mixed,0.8069301056129109
TR,2020-09-01,Vegetation,0.11318929083258028
TR,2020-11-01,Mixed,6.789131405999518
